,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Титаник (1997)
Titanic","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Паразиты
Gisaengchung, 2019","Конклав (2024)
Conclave"
1,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Назад в будущее
Back to the Future, 1985","Общество мертвых поэтов (1989)
Dead Poets Society",Курьер (1986)
2,"Круэлла (2021)
Cruella",Мастер и Маргарита (2023),"Титаник (1997)
Titanic","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Терминал (2004)
The Terminal"
3,"Паразиты
Gisaengchung, 2019","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Шоу Трумана
The Truman Show, 1998","Билли Мэдисон
Billy Madison, 1995","Пленницы (2013)
Prisoners"
4,"Назад в будущее
Back to the Future, 1985","Чужой: Ромул (2024)
Alien: Romulus","Круэлла (2021)
Cruella","Пункт назначения (2000)
Final Destination","Билли Мэдисон
Billy Madison, 1995"
5,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Круэлла (2021)
Cruella","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Игры разума
A Beautiful Mind, 2001","Игры разума
A Beautiful Mind, 2001"
6,"Шоу Трумана
The Truman Show, 1998","Оппенгеймер (2023)
Oppenheimer","Мстители: Финал (2019)
Avengers: Endgame",Курьер (1986),"Паразиты
Gisaengchung, 2019"
7,"Мстители: Финал (2019)
Avengers: Endgame","Образцовый самец (2001)
Zoolander","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Пленницы (2013)
Prisoners","Зодиак (2007)
Zodiac"
8,"Омерзительная восьмерка
The Hateful Eight, 2015","Перелом (2007)
Fracture","Паразиты
Gisaengchung, 2019","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Головоломка 2 (2024)
Inside Out 2"
9,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind",О чём говорят мужчины (2010),"Барби (2023)
Barbie","Конклав (2024)
Conclave","Общество мертвых поэтов (1989)
Dead Poets Society"
