,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бойцовский клуб
Fight Club, 1999","Каскадёры (2024)
The Fall Guy","Бойцовский клуб
Fight Club, 1999","Отступники
The Departed, 2006","Побег из Шоушенка
The Shawshank Redemption, 1994"
1,"Большой Лебовски (1998)
The Big Lebowski","Бешеные псы (1991)
Reservoir Dogs","Назад в будущее
Back to the Future, 1985","Ла-Ла Ленд
La La Land, 2016","Как поймать монстра (2014)
Lost River"
2,"Люди в чёрном
Men in Black, 1997","Залечь на дно в Брюгге (2007)
In Bruges","Люди в чёрном
Men in Black, 1997","Чужой
Alien, 1979","Зеленая миля
The Green Mile, 1999"
3,"Побег из Шоушенка
The Shawshank Redemption, 1994","Терминатор (1984)
The Terminator","Побег из Шоушенка
The Shawshank Redemption, 1994","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Остров проклятых
Shutter Island, 2009"
4,"Паразиты
Gisaengchung, 2019","Такие разные близнецы (2011)
Jack and Jill","Шоу Трумана
The Truman Show, 1998","Пришельцы в Америке (2001)
Just Visiting","Ла-Ла Ленд
La La Land, 2016"
5,"Назад в будущее
Back to the Future, 1985","Пункт назначения. Аквапарк (2019)
Aquaslash","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Драйв (2011)
Drive","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E."
6,"Чужой
Alien, 1979","Пленницы (2013)
Prisoners","Ла-Ла Ленд
La La Land, 2016","Бешеные псы (1991)
Reservoir Dogs","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008"
7,"Молчание ягнят
The Silence of the Lambs, 1990","
Бременские музыканты (2023)","Пятый элемент
The Fifth Element, 1997","На посту!
Au poste!, 2018","Чужой
Alien, 1979"
8,"Терминатор (1984)
The Terminator","Оппенгеймер (2023)
Oppenheimer","Драйв (2011)
Drive","Назад в будущее
Back to the Future, 1985","Пятый элемент
The Fifth Element, 1997"
9,"Пятый элемент
The Fifth Element, 1997","Американская история X (1998)
American History X","Паразиты
Gisaengchung, 2019","Пятый элемент
The Fifth Element, 1997","Назад в будущее
Back to the Future, 1985"
