,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997",День выборов (2009),"Интерстеллар
Interstellar, 2014","Трасса 60
Interstate 60, 2001","Таксист (1976)
Taxi Driver
(с робертом де ниро)"
1,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Дилер (1996)
Pusher","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Интерстеллар
Interstellar, 2014"
2,"Хранители (2009)
Watchmen","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Люди в чёрном
Men in Black, 1997","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
3,"Омерзительная восьмерка
The Hateful Eight, 2015","Люди в чёрном
Men in Black, 1997","Начало
Inception, 2010","Интерстеллар
Interstellar, 2014","Невезучие (2003)
Tais-toi!"
4,"Леон
Léon, 1994","Грязь (2013)
Filth","Пятый элемент
The Fifth Element, 1997","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991",Чужие (1986)
5,"Интерстеллар
Interstellar, 2014","Сотни бобров (2024)
Hundreds of Beavers","Леон
Léon, 1994","Молчание ягнят
The Silence of the Lambs, 1990","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008"
6,"Мстители: Финал (2019)
Avengers: Endgame","Конклав (2024)
Conclave","Мстители: Финал (2019)
Avengers: Endgame","Типа крутые легавые (2007)
Hot Fuzz","Зомби по имени Шон (2004)
Shaun of the Dead"
7,"Пятый элемент
The Fifth Element, 1997","Семь
Se7en, 1995","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Мартовские иды (2011)
The Ides of March","Американская история X (1998)
American History X"
8,"Начало
Inception, 2010","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Драйв (2011)
Drive","Общество мертвых поэтов (1989)
Dead Poets Society","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
9,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Молчание ягнят
The Silence of the Lambs, 1990","Американская история X (1998)
American History X","Общество мертвых поэтов (1989)
Dead Poets Society"
