,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Леон
Léon, 1994","Только бог простит (2012)
Only God Forgives","Титаник (1997)
Titanic","Перелом (2007)
Fracture","Терминал (2004)
The Terminal"
1,"Джокер (2019)
Joker","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One","Леон
Léon, 1994","Головоломка 2 (2024)
Inside Out 2","Семь психопатов (2012)
Seven Psychopaths"
2,"Титаник (1997)
Titanic","Страсти Христовы
The Passion of the Christ, 2004","Джокер (2019)
Joker","Анора (2024)
Anora","Перелом (2007)
Fracture"
3,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Неогранённые алмазы (2019)
Uncut Gems","Интерстеллар
Interstellar, 2014","Трасса 60
Interstate 60, 2001","Анора (2024)
Anora"
4,"Бешеные псы (1991)
Reservoir Dogs","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Мстители: Финал (2019)
Avengers: Endgame","Семь психопатов (2012)
Seven Psychopaths","Головоломка 2 (2024)
Inside Out 2"
5,"Зомби по имени Шон (2004)
Shaun of the Dead","Как поймать монстра (2014)
Lost River","Бесславные ублюдки
Inglourious Basterds, 2009","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One"
6,"Достать ножи
Knives Out, 2019","Достать ножи
Knives Out, 2019","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","
Мемуары Улитки (2024)
Memoir of a Snail","
Мемуары Улитки (2024)
Memoir of a Snail"
7,"Терминал (2004)
The Terminal","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice","Молчание ягнят
The Silence of the Lambs, 1990","Джон Уик 4 (2023)
John Wick: Chapter 4","Джон Уик 4 (2023)
John Wick: Chapter 4"
8,"Интерстеллар
Interstellar, 2014","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Достать ножи
Knives Out, 2019","Зомби по имени Шон (2004)
Shaun of the Dead","Зомби по имени Шон (2004)
Shaun of the Dead"
9,"Бесславные ублюдки
Inglourious Basterds, 2009","Зона интересов (2023)
The Zone of Interest","Криминальное чтиво
Pulp Fiction, 1994","Бешеные псы (1991)
Reservoir Dogs","Бешеные псы (1991)
Reservoir Dogs"
