,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Аватар
Avatar, 2009","Американская история X (1998)
American History X","Один дома
Home Alone, 1990","Отступники
The Departed, 2006","Страсти Христовы
The Passion of the Christ, 2004"
1,"Джокер (2019)
Joker","Останься (2005)
Stay","Джокер (2019)
Joker","Мимино
1977","Неогранённые алмазы (2019)
Uncut Gems"
2,"Один дома
Home Alone, 1990","Джанго освобожденный
Django Unchained, 2012","Аватар
Avatar, 2009","1+1
Intouchables, 2011","1+1
Intouchables, 2011"
3,"Головоломка (2015)
Inside Out","Бешеные псы (1991)
Reservoir Dogs","Головоломка (2015)
Inside Out","Головоломка (2015)
Inside Out","Мимино
1977"
4,"Американская история X (1998)
American History X","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Молчание ягнят
The Silence of the Lambs, 1990","Семь психопатов (2012)
Seven Psychopaths","Семь психопатов (2012)
Seven Psychopaths"
5,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Чужой
Alien, 1979","1+1
Intouchables, 2011","Американская история X (1998)
American History X","Типа крутые легавые (2007)
Hot Fuzz"
6,"Неогранённые алмазы (2019)
Uncut Gems",Мастер и Маргарита (2023),"Титаник (1997)
Titanic","Типа крутые легавые (2007)
Hot Fuzz","Американская история X (1998)
American History X"
7,О чём говорят мужчины (2010),"Анора (2024)
Anora","Мстители: Финал (2019)
Avengers: Endgame","Дюна: Часть вторая (2024)
Dune: Part Two","Одержимость
Whiplash, 2013"
8,"Молчание ягнят
The Silence of the Lambs, 1990","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","
Мемуары Улитки (2024)
Memoir of a Snail","Дюна: Часть вторая (2024)
Dune: Part Two"
9,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Только бог простит (2012)
Only God Forgives","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Одержимость
Whiplash, 2013","
Мемуары Улитки (2024)
Memoir of a Snail"
