,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Телохранитель киллера (2017)
The Hitman's Bodyguard","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Неогранённые алмазы (2019)
Uncut Gems"
1,"Люди в чёрном
Men in Black, 1997","Гладиатор 2 (2024)
Gladiator II","Джокер (2019)
Joker","Паразиты
Gisaengchung, 2019","Психо (1960)
Psycho"
2,"Титаник (1997)
Titanic","Круто сваренные (1992)
Lat sau san taam","Люди в чёрном
Men in Black, 1997","Страсти Христовы
The Passion of the Christ, 2004","Джанго освобожденный
Django Unchained, 2012"
3,"Джокер (2019)
Joker","Смертельное оружие (1987)
Lethal Weapon","Титаник (1997)
Titanic","Неогранённые алмазы (2019)
Uncut Gems","Типа крутые легавые (2007)
Hot Fuzz"
4,"Паразиты
Gisaengchung, 2019","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare","Мстители: Финал (2019)
Avengers: Endgame","Типа крутые легавые (2007)
Hot Fuzz","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
5,"Джанго освобожденный
Django Unchained, 2012","Врожденный порок (2014)
Inherent Vice","Круэлла (2021)
Cruella","Чужой: Ромул (2024)
Alien: Romulus","Ловушка (2024)
Trap"
6,"Омерзительная восьмерка
The Hateful Eight, 2015","Люди в чёрном
Men in Black, 1997","Паразиты
Gisaengchung, 2019","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Паразиты
Gisaengchung, 2019"
7,Курьер (1986),"Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One","Драйв (2011)
Drive","Ловушка (2024)
Trap","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
8,"Мстители: Финал (2019)
Avengers: Endgame","Фанатик (2001)
The Believer","Барби (2023)
Barbie","Смертельное оружие (1987)
Lethal Weapon","Смертельное оружие (1987)
Lethal Weapon"
9,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Форрест Гамп
Forrest Gump, 1994","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
