,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997","Головоломка (2015)
Inside Out","Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems","Телохранитель киллера (2017)
The Hitman's Bodyguard"
1,"Джокер (2019)
Joker","Красота по-американски (1999)
American Beauty","Головоломка (2015)
Inside Out","Армагеддец (2013)
The World's End","Армагеддец (2013)
The World's End"
2,"Титаник (1997)
Titanic","Телохранитель киллера (2017)
The Hitman's Bodyguard","Люди в чёрном
Men in Black, 1997","Американская история X (1998)
American History X","Чужой: Ромул (2024)
Alien: Romulus"
3,"Американская история X (1998)
American History X","Крик (1996)
Scream","Титаник (1997)
Titanic","Головоломка (2015)
Inside Out","Неогранённые алмазы (2019)
Uncut Gems"
4,"Терминатор (1984)
The Terminator","Страсти Христовы
The Passion of the Christ, 2004","Мстители: Финал (2019)
Avengers: Endgame","Гладиатор 2 (2024)
Gladiator II","Головоломка (2015)
Inside Out"
5,"500 дней лета (2009)
(500) Days of Summer","Билли Мэдисон
Billy Madison, 1995","Терминатор (1984)
The Terminator","Типа крутые легавые (2007)
Hot Fuzz","Типа крутые легавые (2007)
Hot Fuzz"
6,"Поймай меня, если сможешь
Catch Me If You Can, 2002","Терминатор (1984)
The Terminator","Поймай меня, если сможешь
Catch Me If You Can, 2002","Дюна: Часть вторая (2024)
Dune: Part Two","Американская история X (1998)
American History X"
7,"Психо (1960)
Psycho","Семь психопатов (2012)
Seven Psychopaths","Чужой
Alien, 1979","Ночь на Земле (1991)
Night on Earth","Семь психопатов (2012)
Seven Psychopaths"
8,"Головоломка (2015)
Inside Out","Гладиатор 2 (2024)
Gladiator II","500 дней лета (2009)
(500) Days of Summer","Семь психопатов (2012)
Seven Psychopaths","Ночь на Земле (1991)
Night on Earth"
9,"Такие разные близнецы (2011)
Jack and Jill","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Крик (1996)
Scream","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002"
