,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Круто сваренные (1992)
Lat sau san taam","Один дома
Home Alone, 1990","Криминальное чтиво
Pulp Fiction, 1994","Неогранённые алмазы (2019)
Uncut Gems"
1,"Один дома
Home Alone, 1990","Джон Уик 4 (2023)
John Wick: Chapter 4","Джокер (2019)
Joker","На посту!
Au poste!, 2018","Перелом (2007)
Fracture"
2,"Джокер (2019)
Joker",Майор Гром: Игра (2024),"Железный человек (2008)
Iron Man","Ночь на Земле (1991)
Night on Earth","Криминальное чтиво
Pulp Fiction, 1994"
3,"Зомби по имени Шон (2004)
Shaun of the Dead","Телохранитель киллера (2017)
The Hitman's Bodyguard","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Неогранённые алмазы (2019)
Uncut Gems","Ночь на Земле (1991)
Night on Earth"
4,"Криминальное чтиво
Pulp Fiction, 1994","Железный человек (2008)
Iron Man","Титаник (1997)
Titanic","Люди в чёрном
Men in Black, 1997","Один дома
Home Alone, 1990"
5,"Титаник (1997)
Titanic","Один дома
Home Alone, 1990","Мстители: Финал (2019)
Avengers: Endgame","Один дома
Home Alone, 1990","Люди в чёрном
Men in Black, 1997"
6,"Омерзительная восьмерка
The Hateful Eight, 2015","Мачо и ботан (2012)
21 Jump Street","Люди в чёрном
Men in Black, 1997","Перелом (2007)
Fracture","Ларс и настоящая девушка (2007)
Lars and the Real Girl"
7,"Железный человек (2008)
Iron Man","Такие разные близнецы (2011)
Jack and Jill","Криминальное чтиво
Pulp Fiction, 1994","Гладиатор 2 (2024)
Gladiator II","На посту!
Au poste!, 2018"
8,"Люди в чёрном
Men in Black, 1997","Дюна: Часть вторая (2024)
Dune: Part Two","Оппенгеймер (2023)
Oppenheimer","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Гладиатор 2 (2024)
Gladiator II"
9,"Выживут только любовники (2013)
Only Lovers Left Alive","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
