,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Невезучие (2003)
Tais-toi!","Джокер (2019)
Joker","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Отступники
The Departed, 2006"
1,"Интерстеллар
Interstellar, 2014","Джокер (2019)
Joker","Мстители: Финал (2019)
Avengers: Endgame","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Такие разные близнецы (2011)
Jack and Jill"
2,"Титаник (1997)
Titanic","Мартовские иды (2011)
The Ides of March","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Отступники
The Departed, 2006","Полночь с дьяволом (2023)
Late Night with the Devil"
3,"Мстители: Финал (2019)
Avengers: Endgame","Сотни бобров (2024)
Hundreds of Beavers","Интерстеллар
Interstellar, 2014","Полночь с дьяволом (2023)
Late Night with the Devil","Звездный десант (1997)
Starship Troopers"
4,"Копы в глубоком запасе (2010)
The Other Guys",Курьер (1986),"Титаник (1997)
Titanic","Смертельное оружие (1987)
Lethal Weapon","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001"
5,"Игры разума
A Beautiful Mind, 2001","Здесь курят (2005)
Thank You for Smoking","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","21 грамм (2003)
21 Grams","
Мемуары Улитки (2024)
Memoir of a Snail"
6,"Омерзительная восьмерка
The Hateful Eight, 2015",Майор Гром: Игра (2024),"Омерзительная восьмерка
The Hateful Eight, 2015","Звездный десант (1997)
Starship Troopers","Американская история X (1998)
American History X"
7,"Такие разные близнецы (2011)
Jack and Jill","Достать ножи
Knives Out, 2019","Достать ножи
Knives Out, 2019","Омерзительная восьмерка
The Hateful Eight, 2015","Смертельное оружие (1987)
Lethal Weapon"
8,"Американская история X (1998)
American History X","Ночь на Земле (1991)
Night on Earth","Крик (1996)
Scream","Американская история X (1998)
American History X","Омерзительная восьмерка
The Hateful Eight, 2015"
9,"Чужой
Alien, 1979","
Мемуары Улитки (2024)
Memoir of a Snail","Трасса 60
Interstate 60, 2001","Здесь курят (2005)
Thank You for Smoking","Здесь курят (2005)
Thank You for Smoking"
