,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997","Только бог простит (2012)
Only God Forgives","Джокер (2019)
Joker",Гидравлика (2010),"Одержимость
Whiplash, 2013"
1,"Джокер (2019)
Joker","Перелом (2007)
Fracture","Аватар
Avatar, 2009","Хранители (2009)
Watchmen",Гидравлика (2010)
2,"Аватар
Avatar, 2009","Джокер (2019)
Joker","Люди в чёрном
Men in Black, 1997","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Отступники
The Departed, 2006"
3,"Железный человек (2008)
Iron Man","Американская история X (1998)
American History X","Железный человек (2008)
Iron Man","Криминальное чтиво
Pulp Fiction, 1994","Джон Уик 4 (2023)
John Wick: Chapter 4"
4,"Американская история X (1998)
American History X","Титаник (1997)
Titanic","Шоу Трумана
The Truman Show, 1998","Отступники
The Departed, 2006","Криминальное чтиво
Pulp Fiction, 1994"
5,"Шоу Трумана
The Truman Show, 1998","Чужой: Ромул (2024)
Alien: Romulus","Титаник (1997)
Titanic","21 грамм (2003)
21 Grams",Чужие (1986)
6,"Хранители (2009)
Watchmen","Гладиатор 2 (2024)
Gladiator II","Криминальное чтиво
Pulp Fiction, 1994","Семь психопатов (2012)
Seven Psychopaths","Хранители (2009)
Watchmen"
7,"Криминальное чтиво
Pulp Fiction, 1994","Тайное окно (2004)
Secret Window","Достать ножи
Knives Out, 2019","Перелом (2007)
Fracture","21 грамм (2003)
21 Grams"
8,Чужие (1986),"Славные парни (2016)
The Nice Guys","Мстители: Финал (2019)
Avengers: Endgame","Джон Уик 4 (2023)
John Wick: Chapter 4","Семь психопатов (2012)
Seven Psychopaths"
9,"Достать ножи
Knives Out, 2019","Люди в чёрном
Men in Black, 1997","Чужой
Alien, 1979","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
