,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Криминальное чтиво
Pulp Fiction, 1994","Бойцовский клуб
Fight Club, 1999","Красота по-американски (1999)
American Beauty","Неогранённые алмазы (2019)
Uncut Gems"
1,"Джанго освобожденный
Django Unchained, 2012","1+1
Intouchables, 2011","Джокер (2019)
Joker","Бойцовский клуб
Fight Club, 1999","Красота по-американски (1999)
American Beauty"
2,"Люди в чёрном
Men in Black, 1997","Джокер (2019)
Joker","Титаник (1997)
Titanic","Люди в чёрном
Men in Black, 1997","Только бог простит (2012)
Only God Forgives"
3,"1+1
Intouchables, 2011",Майор Гром: Игра (2024),"1+1
Intouchables, 2011","Неогранённые алмазы (2019)
Uncut Gems","Люди в чёрном
Men in Black, 1997"
4,"Джокер (2019)
Joker","Драйв (2011)
Drive","Криминальное чтиво
Pulp Fiction, 1994","Только бог простит (2012)
Only God Forgives","Звездный десант (1997)
Starship Troopers"
5,"Бойцовский клуб
Fight Club, 1999","
Небриллиантовая рука (2024)","Круэлла (2021)
Cruella","Звездный десант (1997)
Starship Troopers","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland"
6,"Такие разные близнецы (2011)
Jack and Jill","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Билли Мэдисон
Billy Madison, 1995"
7,"Криминальное чтиво
Pulp Fiction, 1994","Телохранитель киллера (2017)
The Hitman's Bodyguard","Драйв (2011)
Drive","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
8,"Круэлла (2021)
Cruella","
Бременские музыканты (2023)","Люди в чёрном
Men in Black, 1997","Папа, сдохни (2018)","Папа, сдохни (2018)"
9,"Трасса 60
Interstate 60, 2001","Гладиатор 2 (2024)
Gladiator II","Мстители: Финал (2019)
Avengers: Endgame","Джанго освобожденный
Django Unchained, 2012","Джанго освобожденный
Django Unchained, 2012"
