,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Назад в будущее
Back to the Future, 1985","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Джокер (2019)
Joker",Чужие (1986),"Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare"
1,"Драйв (2011)
Drive","Чужой
Alien, 1979","Интерстеллар
Interstellar, 2014","Как поймать монстра (2014)
Lost River",Чужие (1986)
2,"Бойцовский клуб
Fight Club, 1999",День радио (2008),"Бойцовский клуб
Fight Club, 1999","Интерстеллар
Interstellar, 2014","Назад в будущее
Back to the Future, 1985"
3,"Титаник (1997)
Titanic","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Назад в будущее
Back to the Future, 1985","Пленницы (2013)
Prisoners","Интерстеллар
Interstellar, 2014"
4,"Начало
Inception, 2010","Только бог простит (2012)
Only God Forgives","1+1
Intouchables, 2011","Армагеддец (2013)
The World's End","Пленницы (2013)
Prisoners"
5,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Каскадёры (2024)
The Fall Guy","Люди в чёрном
Men in Black, 1997","Назад в будущее
Back to the Future, 1985","Терминатор (1984)
The Terminator"
6,"Интерстеллар
Interstellar, 2014","Виды доброты (2024)
Kinds of Kindness","Титаник (1997)
Titanic","Остров проклятых
Shutter Island, 2009","Остров проклятых
Shutter Island, 2009"
7,"Люди в чёрном
Men in Black, 1997","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Аватар
Avatar, 2009","Телохранитель киллера (2017)
The Hitman's Bodyguard","Как поймать монстра (2014)
Lost River"
8,"Терминатор (1984)
The Terminator","Мертвец (1995)
Dead Man","Железный человек (2008)
Iron Man","Бойцовский клуб
Fight Club, 1999","Бойцовский клуб
Fight Club, 1999"
9,"Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Конклав (2024)
Conclave","Мстители: Финал (2019)
Avengers: Endgame","Дюна: Часть вторая (2024)
Dune: Part Two","Дюна: Часть вторая (2024)
Dune: Part Two"
