,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Криминальное чтиво
Pulp Fiction, 1994","Криминальное чтиво
Pulp Fiction, 1994","Джокер (2019)
Joker","Люди в чёрном
Men in Black, 1997","Одержимость
Whiplash, 2013"
1,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Достать ножи
Knives Out, 2019","Криминальное чтиво
Pulp Fiction, 1994","Одержимость
Whiplash, 2013","Люди в чёрном
Men in Black, 1997"
2,"Люди в чёрном
Men in Black, 1997","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Мимино
1977","
Мемуары Улитки (2024)
Memoir of a Snail"
3,"Интерстеллар
Interstellar, 2014","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Интерстеллар
Interstellar, 2014","Как поймать монстра (2014)
Lost River","Мементо (2000)
Memento"
4,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Титаник (1997)
Titanic","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Мимино
1977"
5,"Титаник (1997)
Titanic","Люди в чёрном
Men in Black, 1997","Люди в чёрном
Men in Black, 1997","Славные парни (2016)
The Nice Guys","Как поймать монстра (2014)
Lost River"
6,"Железный человек (2008)
Iron Man",Майор Гром: Игра (2024),"Железный человек (2008)
Iron Man","Фанатик (2001)
The Believer","Фанатик (2001)
The Believer"
7,"Трасса 60
Interstate 60, 2001","Страсти Христовы
The Passion of the Christ, 2004","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Дюна: Часть вторая (2024)
Dune: Part Two","Дюна: Часть вторая (2024)
Dune: Part Two"
8,"Джокер (2019)
Joker","Звездный десант (1997)
Starship Troopers","Мстители: Финал (2019)
Avengers: Endgame","Пятый элемент
The Fifth Element, 1997","Пятый элемент
The Fifth Element, 1997"
9,"Не говори никому (2021)
Gæsterne",Чужие (1986),"Большой Лебовски (1998)
The Big Lebowski","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
