,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Ла-Ла Ленд
La La Land, 2016",Майор Гром: Игра (2024),"Джокер (2019)
Joker","Назад в будущее
Back to the Future, 1985","Полу-Нельсон (2006)
Half Nelson"
1,"Титаник (1997)
Titanic","Сотни бобров (2024)
Hundreds of Beavers","Титаник (1997)
Titanic","Залечь на дно в Брюгге (2007)
In Bruges","Армагеддец (2013)
The World's End"
2,"Люди в чёрном
Men in Black, 1997","Как поймать монстра (2014)
Lost River","Ла-Ла Ленд
La La Land, 2016","Люди в чёрном
Men in Black, 1997","Игра на понижение (2015)
The Big Short"
3,"Джокер (2019)
Joker","Чужой: Ромул (2024)
Alien: Romulus.1","Люди в чёрном
Men in Black, 1997","Чужой
Alien, 1979","Чужой
Alien, 1979"
4,Чужие (1986),"Пчеловод (2024)
The Beekeeper","Назад в будущее
Back to the Future, 1985","Здесь курят (2005)
Thank You for Smoking","Залечь на дно в Брюгге (2007)
In Bruges"
5,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Хранители (2009)
Watchmen","Молчание ягнят
The Silence of the Lambs, 1990",День радио (2008),"Люди в чёрном
Men in Black, 1997"
6,"Останься (2005)
Stay",День радио (2008),"Поймай меня, если сможешь
Catch Me If You Can, 2002","Ночь на Земле (1991)
Night on Earth","Здесь курят (2005)
Thank You for Smoking"
7,Мастер и Маргарита (2023),"Место под соснами (2012)
The Place Beyond the Pines","Мстители: Финал (2019)
Avengers: Endgame","Армагеддец (2013)
The World's End","Секреты Лос-Анджелеса (1997)
L.A. Confidential"
8,"Полу-Нельсон (2006)
Half Nelson","Между нами музыка (2015)
Song to Song","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Секреты Лос-Анджелеса (1997)
L.A. Confidential","Ночь на Земле (1991)
Night on Earth"
9,"Молчание ягнят
The Silence of the Lambs, 1990","Врожденный порок (2014)
Inherent Vice","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002"
