,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Аватар
Avatar, 2009","Неогранённые алмазы (2019)
Uncut Gems","Джокер (2019)
Joker","Телохранитель киллера (2017)
The Hitman's Bodyguard","Страсти Христовы
The Passion of the Christ, 2004"
1,"Титаник (1997)
Titanic","Сотни бобров (2024)
Hundreds of Beavers","Аватар
Avatar, 2009","Человек на Луне (2018)
First Man","Ларс и настоящая девушка (2007)
Lars and the Real Girl"
2,"Джокер (2019)
Joker","Зона интересов (2023)
The Zone of Interest","Титаник (1997)
Titanic","Шоу Трумана
The Truman Show, 1998","Терминал (2004)
The Terminal"
3,"Большой куш
Snatch, 2000","
Мемуары Улитки (2024)
Memoir of a Snail","Мстители: Финал (2019)
Avengers: Endgame","Общество мертвых поэтов (1989)
Dead Poets Society","Форрест Гамп
Forrest Gump, 1994"
4,Чужие (1986),"Дюна: Часть вторая (2024)
Dune: Part Two","Головоломка (2015)
Inside Out","Терминал (2004)
The Terminal","Как поймать монстра (2014)
Lost River"
5,"Чужой
Alien, 1979","Дом большой мамочки (2000)
Big Momma's House","Барби (2023)
Barbie","Страсти Христовы
The Passion of the Christ, 2004","Общество мертвых поэтов (1989)
Dead Poets Society"
6,"Мертвец (1995)
Dead Man","Анора (2024)
Anora",Наша Russia: Яйца судьбы (2010),"Мертвец (1995)
Dead Man","Мертвец (1995)
Dead Man"
7,"Головоломка (2015)
Inside Out","Джокер (2019)
Joker","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","21 грамм (2003)
21 Grams","21 грамм (2003)
21 Grams"
8,День радио (2008),Мастер и Маргарита (2023),"Форрест Гамп
Forrest Gump, 1994","Кофе и сигареты (2003)
Coffee and Cigarettes","Кофе и сигареты (2003)
Coffee and Cigarettes"
9,"Барби (2023)
Barbie","Ворон (2024)
The Crow","Большой Лебовски (1998)
The Big Lebowski","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
