,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Леон
Léon, 1994","Как поймать монстра (2014)
Lost River","Джокер (2019)
Joker","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Железный человек (2008)
Iron Man"
1,"Джокер (2019)
Joker","Леон
Léon, 1994","Леон
Léon, 1994","Люди в чёрном
Men in Black, 1997","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
2,"Титаник (1997)
Titanic","Ла-Ла Ленд
La La Land, 2016","Титаник (1997)
Titanic","Страсти Христовы
The Passion of the Christ, 2004","
Мемуары Улитки (2024)
Memoir of a Snail"
3,"Люди в чёрном
Men in Black, 1997","Врожденный порок (2014)
Inherent Vice","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Головоломка (2015)
Inside Out","Головоломка (2015)
Inside Out"
4,Чужие (1986),"Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Мстители: Финал (2019)
Avengers: Endgame","Трасса 60
Interstate 60, 2001","Мементо (2000)
Memento"
5,"Трасса 60
Interstate 60, 2001","Бедные-несчастные (2023)
Poor Things","Люди в чёрном
Men in Black, 1997","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
6,"Семь
Se7en, 1995","Серый человек (2022)
The Gray Man","Головоломка (2015)
Inside Out","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Трасса 60
Interstate 60, 2001"
7,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001",Гитлер капут! (2008),"Круэлла (2021)
Cruella","Леон
Léon, 1994","Леон
Léon, 1994"
8,"Клик: С пультом по жизни
Click, 2006","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Железный человек (2008)
Iron Man","
Мемуары Улитки (2024)
Memoir of a Snail","Неогранённые алмазы (2019)
Uncut Gems"
9,"Круэлла (2021)
Cruella","Чужой: Ромул (2024)
Alien: Romulus.1","Семь
Se7en, 1995","Неогранённые алмазы (2019)
Uncut Gems","Страсти Христовы
The Passion of the Christ, 2004"
