,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997","Врожденный порок (2014)
Inherent Vice","Джокер (2019)
Joker","Назад в будущее
Back to the Future, 1985","
Мемуары Улитки (2024)
Memoir of a Snail"
1,"Джокер (2019)
Joker","Джокер (2019)
Joker","Титаник (1997)
Titanic","Чужой
Alien, 1979","Игры разума
A Beautiful Mind, 2001"
2,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Дюна: Часть вторая (2024)
Dune: Part Two","Люди в чёрном
Men in Black, 1997","Джон Уик 4 (2023)
John Wick: Chapter 4","Паразиты
Gisaengchung, 2019"
3,"Титаник (1997)
Titanic","Конклав (2024)
Conclave","Форрест Гамп
Forrest Gump, 1994","Терминал (2004)
The Terminal","Король говорит!
The King's Speech, 2010"
4,"Типа крутые легавые (2007)
Hot Fuzz",Майор Гром: Игра (2024),"Мстители: Финал (2019)
Avengers: Endgame","Паразиты
Gisaengchung, 2019","Чужой
Alien, 1979"
5,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Типа крутые легавые (2007)
Hot Fuzz","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Король говорит!
The King's Speech, 2010","Здесь курят (2005)
Thank You for Smoking"
6,"Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Красота по-американски (1999)
American Beauty","Паразиты
Gisaengchung, 2019","Отступники
The Departed, 2006","Терминал (2004)
The Terminal"
7,"Король говорит!
The King's Speech, 2010","
Бременские музыканты (2023)","Назад в будущее
Back to the Future, 1985","Типа крутые легавые (2007)
Hot Fuzz","Типа крутые легавые (2007)
Hot Fuzz"
8,"Неогранённые алмазы (2019)
Uncut Gems","Мстители: Финал (2019)
Avengers: Endgame","Терминатор (1984)
The Terminator","Здесь курят (2005)
Thank You for Smoking","Анора (2024)
Anora"
9,День радио (2008),"Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Анора (2024)
Anora","Отступники
The Departed, 2006"
