,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Вне закона (1986)
Down by Law","Железный человек (2008)
Iron Man","Вне закона (1986)
Down by Law","Чужой: Ромул (2024)
Alien: Romulus"
1,"Бесславные ублюдки
Inglourious Basterds, 2009",Гидравлика (2010),"Титаник (1997)
Titanic","Здесь курят (2005)
Thank You for Smoking","Здесь курят (2005)
Thank You for Smoking"
2,"Чужой
Alien, 1979","Омерзительная восьмерка
The Hateful Eight, 2015","Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems","Армагеддец (2013)
The World's End"
3,"Омерзительная восьмерка
The Hateful Eight, 2015","Субстанция (2024)
The Substance","Мстители: Финал (2019)
Avengers: Endgame","Круэлла (2021)
Cruella","Как поймать монстра (2014)
Lost River"
4,"Титаник (1997)
Titanic","Мстители: Финал (2019)
Avengers: Endgame","Бесславные ублюдки
Inglourious Basterds, 2009","Омерзительная восьмерка
The Hateful Eight, 2015","Типа крутые легавые (2007)
Hot Fuzz"
5,"Мертвые не умирают (2019)
The Dead Don't Die","Чужой
Alien, 1979","Круэлла (2021)
Cruella","Останься (2005)
Stay","Круэлла (2021)
Cruella"
6,"Железный человек (2008)
Iron Man","Король говорит!
The King's Speech, 2010",Наша Russia: Яйца судьбы (2010),"Типа крутые легавые (2007)
Hot Fuzz","Чужой
Alien, 1979"
7,"Останься (2005)
Stay","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Криминальное чтиво
Pulp Fiction, 1994","Чужой
Alien, 1979","Омерзительная восьмерка
The Hateful Eight, 2015"
8,"Круэлла (2021)
Cruella","Как поймать монстра (2014)
Lost River","Чужой
Alien, 1979","Как поймать монстра (2014)
Lost River","Останься (2005)
Stay"
9,"Игры разума
A Beautiful Mind, 2001",Чужие (1986),"Субстанция (2024)
The Substance","Игры разума
A Beautiful Mind, 2001","Игры разума
A Beautiful Mind, 2001"
