,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Как поймать монстра (2014)
Lost River","Один дома
Home Alone, 1990","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
1,"Драйв (2011)
Drive","Анора (2024)
Anora","Джокер (2019)
Joker","Паразиты
Gisaengchung, 2019","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
2,"Начало
Inception, 2010","Пчеловод (2024)
The Beekeeper","Титаник (1997)
Titanic","Только бог простит (2012)
Only God Forgives","Сотни бобров (2024)
Hundreds of Beavers"
3,"Фарго (1995)
Fargo","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","1+1
Intouchables, 2011","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare","Только бог простит (2012)
Only God Forgives"
4,"Джокер (2019)
Joker","Драйв (2011)
Drive","Зеленая миля
The Green Mile, 1999","Выживут только любовники (2013)
Only Lovers Left Alive","Зеленая миля
The Green Mile, 1999"
5,"Один дома
Home Alone, 1990","Бойцовский клуб
Fight Club, 1999","Паразиты
Gisaengchung, 2019","Семь психопатов (2012)
Seven Psychopaths","Врожденный порок (2014)
Inherent Vice"
6,"Бешеные псы (1991)
Reservoir Dogs","Пленницы (2013)
Prisoners","Бойцовский клуб
Fight Club, 1999","Зеленая миля
The Green Mile, 1999","Паразиты
Gisaengchung, 2019"
7,"1+1
Intouchables, 2011","Фарго (1995)
Fargo","Начало
Inception, 2010","Отступники
The Departed, 2006","Семь психопатов (2012)
Seven Psychopaths"
8,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Паразиты
Gisaengchung, 2019","Мстители: Финал (2019)
Avengers: Endgame","Врожденный порок (2014)
Inherent Vice","Отступники
The Departed, 2006"
9,Чужие (1986),"Телохранитель киллера (2017)
The Hitman's Bodyguard","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Мартовские иды (2011)
The Ides of March","Мартовские иды (2011)
The Ides of March"
