,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Серый человек (2022)
The Gray Man","Джокер (2019)
Joker","Джокер (2019)
Joker","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
1,"Железный человек (2008)
Iron Man","Неогранённые алмазы (2019)
Uncut Gems","Железный человек (2008)
Iron Man","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Джокер (2019)
Joker"
2,"Ла-Ла Ленд
La La Land, 2016","Драйв (2011)
Drive","Аватар
Avatar, 2009","Кофе и сигареты (2003)
Coffee and Cigarettes","Как поймать монстра (2014)
Lost River"
3,"Аватар
Avatar, 2009","На посту!
Au poste!, 2018","Титаник (1997)
Titanic","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Кофе и сигареты (2003)
Coffee and Cigarettes"
4,"Джокер (2019)
Joker","Только бог простит (2012)
Only God Forgives","Мстители: Финал (2019)
Avengers: Endgame","Зодиак (2007)
Zodiac","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang"
5,"Бесславные ублюдки
Inglourious Basterds, 2009",Майор Гром: Игра (2024),Наша Russia: Яйца судьбы (2010),"Звездный десант (1997)
Starship Troopers","Звездный десант (1997)
Starship Troopers"
6,"500 дней лета (2009)
(500) Days of Summer","Последний бойскаут (1991)
The Last Boy Scout","Ла-Ла Ленд
La La Land, 2016","Отступники
The Departed, 2006","Зодиак (2007)
Zodiac"
7,"Дом большой мамочки (2000)
Big Momma's House","Анора (2024)
Anora","Барби (2023)
Barbie","Как поймать монстра (2014)
Lost River","Неогранённые алмазы (2019)
Uncut Gems"
8,"Клуб «Завтрак» (1985)
The Breakfast Club",Чужие (1986),"Драйв (2011)
Drive","Игры разума
A Beautiful Mind, 2001","Игры разума
A Beautiful Mind, 2001"
9,Чужие (1986),"Чужой
Alien, 1979","Чужой
Alien, 1979","Неогранённые алмазы (2019)
Uncut Gems","Отступники
The Departed, 2006"
