,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Зомби по имени Шон (2004)
Shaun of the Dead","Круто сваренные (1992)
Lat sau san taam","Джокер (2019)
Joker","Выживут только любовники (2013)
Only Lovers Left Alive","Страсти Христовы
The Passion of the Christ, 2004"
1,Чужие (1986),"Телохранитель киллера (2017)
The Hitman's Bodyguard","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","21 грамм (2003)
21 Grams","Паразиты
Gisaengchung, 2019"
2,"Джокер (2019)
Joker","Чужой: Ромул (2024)
Alien: Romulus","Головоломка (2015)
Inside Out","Между нами музыка (2015)
Song to Song","Залечь на дно в Брюгге (2007)
In Bruges"
3,"Титаник (1997)
Titanic","Круэлла (2021)
Cruella","Круэлла (2021)
Cruella","Зомби по имени Шон (2004)
Shaun of the Dead","Звездный десант (1997)
Starship Troopers"
4,"Славные парни (2016)
The Nice Guys","Залечь на дно в Брюгге (2007)
In Bruges","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Выживут только любовники (2013)
Only Lovers Left Alive"
5,"Остров проклятых
Shutter Island, 2009",Мастер и Маргарита (2023),"Мстители: Финал (2019)
Avengers: Endgame","Чужой: Ромул (2024)
Alien: Romulus","Между нами музыка (2015)
Song to Song"
6,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Образцовый самец (2001)
Zoolander","Поймай меня, если сможешь
Catch Me If You Can, 2002","Паразиты
Gisaengchung, 2019","21 грамм (2003)
21 Grams"
7,"Головоломка (2015)
Inside Out",Майор Гром: Игра (2024),"Титаник (1997)
Titanic","Как поймать монстра (2014)
Lost River","Как поймать монстра (2014)
Lost River"
8,"Терминатор (1984)
The Terminator","Пэрл (2022)
Pearl","Паразиты
Gisaengchung, 2019","Вонка (2023)
Wonka","Вонка (2023)
Wonka"
9,"Паразиты
Gisaengchung, 2019","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Остров проклятых
Shutter Island, 2009","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002"
