,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Зомби по имени Шон (2004)
Shaun of the Dead","Типа крутые легавые (2007)
Hot Fuzz","Один дома
Home Alone, 1990","Титаник (1997)
Titanic","Тайное окно (2004)
Secret Window"
1,"Один дома
Home Alone, 1990","Страсти Христовы
The Passion of the Christ, 2004","Джокер (2019)
Joker","Джокер (2019)
Joker","Дюна: Часть вторая (2024)
Dune: Part Two"
2,"Джокер (2019)
Joker","Паразиты
Gisaengchung, 2019","Титаник (1997)
Titanic","21 грамм (2003)
21 Grams",Курьер (1986)
3,"Шоу Трумана
The Truman Show, 1998","Мачо и ботан (2012)
21 Jump Street","Шоу Трумана
The Truman Show, 1998","Как поймать монстра (2014)
Lost River","Отступники
The Departed, 2006"
4,"Титаник (1997)
Titanic",Майор Гром: Игра (2024),"Паразиты
Gisaengchung, 2019","Отступники
The Departed, 2006","Титаник (1997)
Titanic"
5,"Паразиты
Gisaengchung, 2019","Отступники
The Departed, 2006","Головоломка (2015)
Inside Out","Тайное окно (2004)
Secret Window","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang"
6,"Омерзительная восьмерка
The Hateful Eight, 2015","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Мстители: Финал (2019)
Avengers: Endgame","Типа крутые легавые (2007)
Hot Fuzz","21 грамм (2003)
21 Grams"
7,"Чужой
Alien, 1979","Только бог простит (2012)
Only God Forgives","Чужой
Alien, 1979","Дюна: Часть вторая (2024)
Dune: Part Two","Типа крутые легавые (2007)
Hot Fuzz"
8,Чужие (1986),"Неогранённые алмазы (2019)
Uncut Gems","Зомби по имени Шон (2004)
Shaun of the Dead","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
9,"Чокнутый (2006)
Delirious","Мстители: Финал (2019)
Avengers: Endgame","Омерзительная восьмерка
The Hateful Eight, 2015","Апокалипсис сегодня (1979)
Apocalypse Now","Апокалипсис сегодня (1979)
Apocalypse Now"
