,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Чокнутый (2006)
Delirious","Титаник (1997)
Titanic","Криминальное чтиво
Pulp Fiction, 1994","Криминальное чтиво
Pulp Fiction, 1994"
1,"Чужой
Alien, 1979",Чужие (1986),"Джокер (2019)
Joker","Джокер (2019)
Joker","Чужой
Alien, 1979"
2,"Ла-Ла Ленд
La La Land, 2016","Фанатик (2001)
The Believer","Ла-Ла Ленд
La La Land, 2016","Славные парни (2016)
The Nice Guys","Игры разума
A Beautiful Mind, 2001"
3,"Криминальное чтиво
Pulp Fiction, 1994","Джокер (2019)
Joker","Мстители: Финал (2019)
Avengers: Endgame","Врожденный порок (2014)
Inherent Vice","Зеленая миля
The Green Mile, 1999"
4,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Как поймать монстра (2014)
Lost River","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Неогранённые алмазы (2019)
Uncut Gems","Звездный десант (1997)
Starship Troopers"
5,"Мстители: Финал (2019)
Avengers: Endgame","Мачо и ботан (2012)
21 Jump Street","Начало
Inception, 2010","Звездный десант (1997)
Starship Troopers","Перелом (2007)
Fracture"
6,"Начало
Inception, 2010","Врожденный порок (2014)
Inherent Vice","Форрест Гамп
Forrest Gump, 1994","Зеленая миля
The Green Mile, 1999","Врожденный порок (2014)
Inherent Vice"
7,"Джокер (2019)
Joker","Вне закона (1986)
Down by Law","Криминальное чтиво
Pulp Fiction, 1994","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Неогранённые алмазы (2019)
Uncut Gems"
8,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Титаник (1997)
Titanic","Пятый элемент
The Fifth Element, 1997","Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013"
9,"Нечто (1982)
The Thing","Неогранённые алмазы (2019)
Uncut Gems","Чужой
Alien, 1979","Мертвец (1995)
Dead Man","Мертвец (1995)
Dead Man"
