,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Леон
Léon, 1994","Гладиатор 2 (2024)
Gladiator II","Один дома
Home Alone, 1990","Последний бойскаут (1991)
The Last Boy Scout","Сотни бобров (2024)
Hundreds of Beavers"
1,"Шоу Трумана
The Truman Show, 1998","Залечь на дно в Брюгге (2007)
In Bruges","Джокер (2019)
Joker","Леон
Léon, 1994","Последний бойскаут (1991)
The Last Boy Scout"
2,"Один дома
Home Alone, 1990","Мачо и ботан (2012)
21 Jump Street","Интерстеллар
Interstellar, 2014","Терминал (2004)
The Terminal","Головоломка 2 (2024)
Inside Out 2"
3,Чужие (1986),"Врожденный порок (2014)
Inherent Vice","Титаник (1997)
Titanic","Звездный десант (1997)
Starship Troopers","Анора (2024)
Anora"
4,"Титаник (1997)
Titanic","Леон
Léon, 1994","Леон
Léon, 1994","Поймай меня, если сможешь
Catch Me If You Can, 2002","Терминал (2004)
The Terminal"
5,"Интерстеллар
Interstellar, 2014","Джон Уик 4 (2023)
John Wick: Chapter 4","Шоу Трумана
The Truman Show, 1998","Залечь на дно в Брюгге (2007)
In Bruges","Поймай меня, если сможешь
Catch Me If You Can, 2002"
6,"Джокер (2019)
Joker","Последний бойскаут (1991)
The Last Boy Scout","Мстители: Финал (2019)
Avengers: Endgame","Семь
Se7en, 1995","Клуб «Завтрак» (1985)
The Breakfast Club"
7,"Криминальное чтиво
Pulp Fiction, 1994","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Криминальное чтиво
Pulp Fiction, 1994","Мертвец (1995)
Dead Man","Оленья кожа (2019)
Le daim"
8,"Терминал (2004)
The Terminal","Драйв (2011)
Drive","Семь
Se7en, 1995","Клуб «Завтрак» (1985)
The Breakfast Club","Семь
Se7en, 1995"
9,"Побег из Нью-Йорка (1981)
Escape from New York (не тарков)",Наша Russia: Яйца судьбы (2010),"Поймай меня, если сможешь
Catch Me If You Can, 2002","Оленья кожа (2019)
Le daim","Мертвец (1995)
Dead Man"
