,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997","Кофе и сигареты (2003)
Coffee and Cigarettes","Джокер (2019)
Joker","Папа, сдохни (2018)","Сотни бобров (2024)
Hundreds of Beavers"
1,"Джокер (2019)
Joker","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Люди в чёрном
Men in Black, 1997","Семь
Se7en, 1995","Дюна: Часть вторая (2024)
Dune: Part Two"
2,"Бесславные ублюдки
Inglourious Basterds, 2009","Место под соснами (2012)
The Place Beyond the Pines","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Папа, сдохни (2018)"
3,"Криминальное чтиво
Pulp Fiction, 1994","Анора (2024)
Anora","Бесславные ублюдки
Inglourious Basterds, 2009","Субстанция (2024)
The Substance","Чужой: Ромул (2024)
Alien: Romulus"
4,Чужие (1986),Мастер и Маргарита (2023),"Мстители: Финал (2019)
Avengers: Endgame","Побег из Шоушенка
The Shawshank Redemption, 1994","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
5,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Папа, сдохни (2018)","Криминальное чтиво
Pulp Fiction, 1994","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Семь
Se7en, 1995"
6,"Неогранённые алмазы (2019)
Uncut Gems","Выживут только любовники (2013)
Only Lovers Left Alive","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Бесславные ублюдки
Inglourious Basterds, 2009","Эта дурацкая любовь (2011)
Crazy, Stupid, Love."
7,"Нечто (1982)
The Thing",День радио (2008),"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Чужой: Ромул (2024)
Alien: Romulus","Побег из Шоушенка
The Shawshank Redemption, 1994"
8,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Нечто (1982)
The Thing","Титаник (1997)
Titanic","Неогранённые алмазы (2019)
Uncut Gems","Бесславные ублюдки
Inglourious Basterds, 2009"
9,"Джанго освобожденный
Django Unchained, 2012","Джон Уик 4 (2023)
John Wick: Chapter 4",Наша Russia: Яйца судьбы (2010),"21 грамм (2003)
21 Grams","21 грамм (2003)
21 Grams"
