,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Джокер (2019)
Joker","Общество мертвых поэтов (1989)
Dead Poets Society","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
1,"Бесславные ублюдки
Inglourious Basterds, 2009",О чём говорят мужчины (2010),"Титаник (1997)
Titanic","Однажды в Ирландии (2011)
The Guard","Неогранённые алмазы (2019)
Uncut Gems"
2,"Титаник (1997)
Titanic","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Паразиты
Gisaengchung, 2019","Игра на понижение (2015)
The Big Short","Игра на понижение (2015)
The Big Short"
3,"Пятый элемент
The Fifth Element, 1997","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Молчание ягнят
The Silence of the Lambs, 1990","Останься (2005)
Stay","Как поймать монстра (2014)
Lost River"
4,"Леон
Léon, 1994","Смертельное оружие (1987)
Lethal Weapon","Леон
Léon, 1994","Джанго освобожденный
Django Unchained, 2012","Однажды в Ирландии (2011)
The Guard"
5,"Остров проклятых
Shutter Island, 2009","Пункт назначения. Аквапарк (2019)
Aquaslash","Остров проклятых
Shutter Island, 2009","Паразиты
Gisaengchung, 2019","Останься (2005)
Stay"
6,Чужие (1986),"Нечто (1982)
The Thing","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Как поймать монстра (2014)
Lost River","Оленья кожа (2019)
Le daim"
7,"Паразиты
Gisaengchung, 2019","Общество мертвых поэтов (1989)
Dead Poets Society","Мстители: Финал (2019)
Avengers: Endgame","Отступники
The Departed, 2006","Паразиты
Gisaengchung, 2019"
8,"Молчание ягнят
The Silence of the Lambs, 1990","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Пятый элемент
The Fifth Element, 1997","Бесславные ублюдки
Inglourious Basterds, 2009","Типа крутые легавые (2007)
Hot Fuzz"
9,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Врожденный порок (2014)
Inherent Vice","Бесславные ублюдки
Inglourious Basterds, 2009","Неогранённые алмазы (2019)
Uncut Gems","Отступники
The Departed, 2006"
