,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пятый элемент
The Fifth Element, 1997","Пятый элемент
The Fifth Element, 1997","Джокер (2019)
Joker","Джокер (2019)
Joker","Анора (2024)
Anora"
1,"Джокер (2019)
Joker","Терминал (2004)
The Terminal","Пятый элемент
The Fifth Element, 1997","Круто сваренные (1992)
Lat sau san taam","Звездный десант (1997)
Starship Troopers"
2,Чужие (1986),"Джон Уик 4 (2023)
John Wick: Chapter 4","Титаник (1997)
Titanic","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Папа, сдохни (2018)"
3,"Чужой
Alien, 1979",Чужие (1986),"Мстители: Финал (2019)
Avengers: Endgame","Сотни бобров (2024)
Hundreds of Beavers","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One"
4,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Врожденный порок (2014)
Inherent Vice","1+1
Intouchables, 2011","Апокалипсис сегодня (1979)
Apocalypse Now","Джон Уик 4 (2023)
John Wick: Chapter 4"
5,"Американская история X (1998)
American History X","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice","Леон
Léon, 1994","Вне закона (1986)
Down by Law","Зона интересов (2023)
The Zone of Interest"
6,"Вне закона (1986)
Down by Law","Полночь с дьяволом (2023)
Late Night with the Devil","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Папа, сдохни (2018)","Бегущий по лезвию 2049 (2017)
Blade Runner 2049"
7,"Бесславные ублюдки
Inglourious Basterds, 2009",Майор Гром: Игра (2024),"Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002","Апокалипсис сегодня (1979)
Apocalypse Now"
8,"500 дней лета (2009)
(500) Days of Summer","Зона интересов (2023)
The Zone of Interest","Бесславные ублюдки
Inglourious Basterds, 2009","Американская история X (1998)
American History X","Поймай меня, если сможешь
Catch Me If You Can, 2002"
9,"Мстители: Финал (2019)
Avengers: Endgame","Американская история X (1998)
American History X","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Зона интересов (2023)
The Zone of Interest","Американская история X (1998)
American History X"
