,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Дневник памяти (2004)
The Notebook","Джокер (2019)
Joker",Чужие (1986),"Чужой
Alien, 1979"
1,"Титаник (1997)
Titanic","Виды доброты (2024)
Kinds of Kindness","Бойцовский клуб
Fight Club, 1999","Большой куш
Snatch, 2000","Психо (1960)
Psycho"
2,"Бойцовский клуб
Fight Club, 1999","Чокнутый (2006)
Delirious","Титаник (1997)
Titanic","Оленья кожа (2019)
Le daim","Терминал (2004)
The Terminal"
3,"Криминальное чтиво
Pulp Fiction, 1994",Чужие (1986),"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Типа крутые легавые (2007)
Hot Fuzz","
Мемуары Улитки (2024)
Memoir of a Snail"
4,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Дом большой мамочки (2000)
Big Momma's House","Мстители: Финал (2019)
Avengers: Endgame","Криминальное чтиво
Pulp Fiction, 1994","Криминальное чтиво
Pulp Fiction, 1994"
5,"Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Билли Мэдисон
Billy Madison, 1995","Криминальное чтиво
Pulp Fiction, 1994","Терминал (2004)
The Terminal",Чужие (1986)
6,"Драйв (2011)
Drive","Нечто (1982)
The Thing","Барби (2023)
Barbie","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
7,"Зомби по имени Шон (2004)
Shaun of the Dead","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Достать ножи
Knives Out, 2019","Фарго (1995)
Fargo","Дюна: Часть вторая (2024)
Dune: Part Two"
8,"Телохранитель киллера (2017)
The Hitman's Bodyguard","Драйв (2011)
Drive","Чужой
Alien, 1979","Дюна: Часть вторая (2024)
Dune: Part Two","Одержимость
Whiplash, 2013"
9,Чужие (1986),Мастер и Маргарита (2023),"Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Одержимость
Whiplash, 2013","Фарго (1995)
Fargo"
