,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Терминал (2004)
The Terminal","Джокер (2019)
Joker","Одержимость
Whiplash, 2013","Пятый элемент
The Fifth Element, 1997"
1,"Драйв (2011)
Drive","Здесь курят (2005)
Thank You for Smoking","Титаник (1997)
Titanic","Криминальное чтиво
Pulp Fiction, 1994","Одержимость
Whiplash, 2013"
2,"Пятый элемент
The Fifth Element, 1997","Драйв (2011)
Drive","Железный человек (2008)
Iron Man","Здесь курят (2005)
Thank You for Smoking","Джон Уик 4 (2023)
John Wick: Chapter 4"
3,"Леон
Léon, 1994","Звездный десант (1997)
Starship Troopers","Пятый элемент
The Fifth Element, 1997","Грязь (2013)
Filth","Криминальное чтиво
Pulp Fiction, 1994"
4,"Джокер (2019)
Joker","Омерзительная восьмерка
The Hateful Eight, 2015","Мстители: Финал (2019)
Avengers: Endgame","Звездный десант (1997)
Starship Troopers","Грязь (2013)
Filth"
5,"Криминальное чтиво
Pulp Fiction, 1994","Дом большой мамочки (2000)
Big Momma's House","Драйв (2011)
Drive","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Психо (1960)
Psycho"
6,"Омерзительная восьмерка
The Hateful Eight, 2015","Грязь (2013)
Filth","Криминальное чтиво
Pulp Fiction, 1994","Психо (1960)
Psycho","Здесь курят (2005)
Thank You for Smoking"
7,"Вне закона (1986)
Down by Law","Полночь с дьяволом (2023)
Late Night with the Devil","Леон
Léon, 1994","Общество мертвых поэтов (1989)
Dead Poets Society","Общество мертвых поэтов (1989)
Dead Poets Society"
8,"Железный человек (2008)
Iron Man","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Чужой
Alien, 1979","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang"
9,День радио (2008),"Джокер (2019)
Joker","Форрест Гамп
Forrest Gump, 1994","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
