,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Врожденный порок (2014)
Inherent Vice","Джокер (2019)
Joker","Билли Мэдисон
Billy Madison, 1995","Семь психопатов (2012)
Seven Psychopaths"
1,"Побег из Шоушенка
The Shawshank Redemption, 1994","Чужой
Alien, 1979","1+1
Intouchables, 2011","Ловушка (2024)
Trap","Анора (2024)
Anora"
2,"Титаник (1997)
Titanic",Чужие (1986),"Титаник (1997)
Titanic","Чужой: Ромул (2024)
Alien: Romulus","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
3,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Побег из Шоушенка
The Shawshank Redemption, 1994","Король говорит!
The King's Speech, 2010","Страсти Христовы
The Passion of the Christ, 2004"
4,"1+1
Intouchables, 2011","Дюна: Часть вторая (2024)
Dune: Part Two","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Ловушка (2024)
Trap"
5,О чём говорят мужчины (2010),"Фарго (1995)
Fargo","Поймай меня, если сможешь
Catch Me If You Can, 2002","Семь психопатов (2012)
Seven Psychopaths","Билли Мэдисон
Billy Madison, 1995"
6,"Фарго (1995)
Fargo","Полу-Нельсон (2006)
Half Nelson","Мстители: Финал (2019)
Avengers: Endgame","Как поймать монстра (2014)
Lost River","Как поймать монстра (2014)
Lost River"
7,"Полу-Нельсон (2006)
Half Nelson","Мементо (2000)
Memento","Остров проклятых
Shutter Island, 2009","Большой куш
Snatch, 2000","Большой куш
Snatch, 2000"
8,Чужие (1986),"Головоломка 2 (2024)
Inside Out 2","Оппенгеймер (2023)
Oppenheimer","Мементо (2000)
Memento","Фарго (1995)
Fargo"
9,"Большой куш
Snatch, 2000","Джокер (2019)
Joker","Чужой
Alien, 1979","Фарго (1995)
Fargo","Мементо (2000)
Memento"
