,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Джанго освобожденный
Django Unchained, 2012","Джокер (2019)
Joker","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Копы в глубоком запасе (2010)
The Other Guys"
1,"Начало
Inception, 2010",О чём говорят мужчины (2010),"Титаник (1997)
Titanic","Копы в глубоком запасе (2010)
The Other Guys","Фанатик (2001)
The Believer"
2,"Титаник (1997)
Titanic","Неогранённые алмазы (2019)
Uncut Gems","Побег из Шоушенка
The Shawshank Redemption, 1994","Джанго освобожденный
Django Unchained, 2012","Неогранённые алмазы (2019)
Uncut Gems"
3,"Джанго освобожденный
Django Unchained, 2012","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Апокалипсис сегодня (1979)
Apocalypse Now","Звездный десант (1997)
Starship Troopers"
4,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Ночь на Земле (1991)
Night on Earth","Мстители: Финал (2019)
Avengers: Endgame",Чужие (1986),"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
5,"Неогранённые алмазы (2019)
Uncut Gems","Типа крутые легавые (2007)
Hot Fuzz","Головоломка (2015)
Inside Out","Чужой: Ромул (2024)
Alien: Romulus","Зеленая миля
The Green Mile, 1999"
6,Чужие (1986),"Такие разные близнецы (2011)
Jack and Jill","Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999","Апокалипсис сегодня (1979)
Apocalypse Now"
7,"Звездный десант (1997)
Starship Troopers","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Неогранённые алмазы (2019)
Uncut Gems","Джанго освобожденный
Django Unchained, 2012"
8,"Побег из Шоушенка
The Shawshank Redemption, 1994","Отступники
The Departed, 2006","Джанго освобожденный
Django Unchained, 2012","Папа, сдохни (2018)","Папа, сдохни (2018)"
9,"Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Папа, сдохни (2018)","Оппенгеймер (2023)
Oppenheimer","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
