,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Телохранитель киллера (2017)
The Hitman's Bodyguard","Джокер (2019)
Joker","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001",Чужие (1986)
1,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One"
2,"Интерстеллар
Interstellar, 2014","Страсти Христовы
The Passion of the Christ, 2004","Интерстеллар
Interstellar, 2014","Общество мертвых поэтов (1989)
Dead Poets Society","Неогранённые алмазы (2019)
Uncut Gems"
3,"Леон
Léon, 1994","Дом большой мамочки (2000)
Big Momma's House","Люди в чёрном
Men in Black, 1997","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One","Общество мертвых поэтов (1989)
Dead Poets Society"
4,"Люди в чёрном
Men in Black, 1997","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Титаник (1997)
Titanic","Неогранённые алмазы (2019)
Uncut Gems","Телохранитель киллера (2017)
The Hitman's Bodyguard"
5,"Бесславные ублюдки
Inglourious Basterds, 2009","Залечь на дно в Брюгге (2007)
In Bruges","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Как поймать монстра (2014)
Lost River","Бегущий по лезвию 2049 (2017)
Blade Runner 2049"
6,"Титаник (1997)
Titanic","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Шоу Трумана
The Truman Show, 1998","
Мемуары Улитки (2024)
Memoir of a Snail","
Мемуары Улитки (2024)
Memoir of a Snail"
7,"Большой Лебовски (1998)
The Big Lebowski","Бедные-несчастные (2023)
Poor Things","Мстители: Финал (2019)
Avengers: Endgame","Телохранитель киллера (2017)
The Hitman's Bodyguard","Как поймать монстра (2014)
Lost River"
8,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Бесславные ублюдки
Inglourious Basterds, 2009","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Бесславные ублюдки
Inglourious Basterds, 2009"
9,"Шоу Трумана
The Truman Show, 1998","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Большой Лебовски (1998)
The Big Lebowski","Бесславные ублюдки
Inglourious Basterds, 2009","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
