,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997",О чём говорят мужчины (2010),"Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems","Люди в чёрном
Men in Black, 1997"
1,"Омерзительная восьмерка
The Hateful Eight, 2015","Джокер (2019)
Joker","Титаник (1997)
Titanic","Люди в чёрном
Men in Black, 1997","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
2,"Титаник (1997)
Titanic","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Интерстеллар
Interstellar, 2014","Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems"
3,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Конклав (2024)
Conclave","Люди в чёрном
Men in Black, 1997","Поймай меня, если сможешь
Catch Me If You Can, 2002","Джокер (2019)
Joker"
4,"Интерстеллар
Interstellar, 2014","Хранители (2009)
Watchmen","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Славные парни (2016)
The Nice Guys","Ловушка (2024)
Trap"
5,Чужие (1986),"Фарго (1995)
Fargo","Мстители: Финал (2019)
Avengers: Endgame","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Славные парни (2016)
The Nice Guys"
6,"Хранители (2009)
Watchmen","Мстители: Финал (2019)
Avengers: Endgame","Омерзительная восьмерка
The Hateful Eight, 2015","Фарго (1995)
Fargo","Поймай меня, если сможешь
Catch Me If You Can, 2002"
7,"Пункт назначения (2000)
Final Destination","Сотни бобров (2024)
Hundreds of Beavers","Оппенгеймер (2023)
Oppenheimer","Ловушка (2024)
Trap","Оппенгеймер (2023)
Oppenheimer"
8,"Джокер (2019)
Joker","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Оппенгеймер (2023)
Oppenheimer","Фарго (1995)
Fargo"
9,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
