,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic",День радио (2008),"Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","Чужой
Alien, 1979"
1,"Джокер (2019)
Joker","Чужой: Ромул (2024)
Alien: Romulus","Титаник (1997)
Titanic","Король говорит!
The King's Speech, 2010","Неогранённые алмазы (2019)
Uncut Gems"
2,"Драйв (2011)
Drive","Омерзительная восьмерка
The Hateful Eight, 2015","Железный человек (2008)
Iron Man",Чужие (1986),"Король говорит!
The King's Speech, 2010"
3,"Начало
Inception, 2010","Врожденный порок (2014)
Inherent Vice","Начало
Inception, 2010","
Мемуары Улитки (2024)
Memoir of a Snail","Страсти Христовы
The Passion of the Christ, 2004"
4,"Мачо и ботан (2012)
21 Jump Street","Место под соснами (2012)
The Place Beyond the Pines","Мстители: Финал (2019)
Avengers: Endgame",Курьер (1986),Курьер (1986)
5,"Чужой
Alien, 1979","Джокер (2019)
Joker","Форрест Гамп
Forrest Gump, 1994","Дюна: Часть вторая (2024)
Dune: Part Two","Оленья кожа (2019)
Le daim"
6,"Омерзительная восьмерка
The Hateful Eight, 2015","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Драйв (2011)
Drive","Чужой
Alien, 1979","Дюна: Часть вторая (2024)
Dune: Part Two"
7,"Железный человек (2008)
Iron Man","Яйцеголовые
Coneheads, 1993","Чужой
Alien, 1979","Оленья кожа (2019)
Le daim",Чужие (1986)
8,"Типа крутые легавые (2007)
Hot Fuzz","Мементо (2000)
Memento","Шоу Трумана
The Truman Show, 1998","Пленницы (2013)
Prisoners","Славные парни (2016)
The Nice Guys"
9,О чём ещё говорят мужчины (2011),"Гладиатор 2 (2024)
Gladiator II","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Славные парни (2016)
The Nice Guys","Пленницы (2013)
Prisoners"
