,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Назад в будущее
Back to the Future, 1985","Психо (1960)
Psycho","Назад в будущее
Back to the Future, 1985","Начало
Inception, 2010","Начало
Inception, 2010"
1,"Джокер (2019)
Joker","Только бог простит (2012)
Only God Forgives","Джокер (2019)
Joker","Назад в будущее
Back to the Future, 1985","Пленницы (2013)
Prisoners"
2,"Титаник (1997)
Titanic","Достучаться до небес
Knockin' on Heaven's Door, 1997","Начало
Inception, 2010","Залечь на дно в Брюгге (2007)
In Bruges","Джон Уик 4 (2023)
John Wick: Chapter 4"
3,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Страсти Христовы
The Passion of the Christ, 2004","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Билли Мэдисон
Billy Madison, 1995","Назад в будущее
Back to the Future, 1985"
4,"Достучаться до небес
Knockin' on Heaven's Door, 1997",Гитлер капут! (2008),"Титаник (1997)
Titanic","Пленницы (2013)
Prisoners","Залечь на дно в Брюгге (2007)
In Bruges"
5,"Начало
Inception, 2010","Звездный десант (1997)
Starship Troopers","Мстители: Финал (2019)
Avengers: Endgame","Достучаться до небес
Knockin' on Heaven's Door, 1997","Неогранённые алмазы (2019)
Uncut Gems"
6,Чужие (1986),"Максин XXX (2024)
MaXXXine","Оппенгеймер (2023)
Oppenheimer","Сотни бобров (2024)
Hundreds of Beavers","Достучаться до небес
Knockin' on Heaven's Door, 1997"
7,"Выживут только любовники (2013)
Only Lovers Left Alive","Армагеддец (2013)
The World's End","Чужой
Alien, 1979","Звездный десант (1997)
Starship Troopers","Сотни бобров (2024)
Hundreds of Beavers"
8,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Сотни бобров (2024)
Hundreds of Beavers","Пленницы (2013)
Prisoners","Неогранённые алмазы (2019)
Uncut Gems","Звездный десант (1997)
Starship Troopers"
9,День радио (2008),"Дилер (1996)
Pusher","Достучаться до небес
Knockin' on Heaven's Door, 1997","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
