,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Джокер (2019)
Joker","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008"
1,"Титаник (1997)
Titanic","Титаник (1997)
Titanic","Титаник (1997)
Titanic","Мементо (2000)
Memento","Мементо (2000)
Memento"
2,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Джокер (2019)
Joker","
Мемуары Улитки (2024)
Memoir of a Snail"
3,"Зеленая миля
The Green Mile, 1999","Чужой
Alien, 1979","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Мертвец (1995)
Dead Man","Неогранённые алмазы (2019)
Uncut Gems"
4,Чужие (1986),"Зеленая миля
The Green Mile, 1999","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
5,"Чужой
Alien, 1979","
Бременские музыканты (2023)","Бесславные ублюдки
Inglourious Basterds, 2009","Чужой: Ромул (2024)
Alien: Romulus","Образцовый самец (2001)
Zoolander"
6,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Мстители: Финал (2019)
Avengers: Endgame","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
7,"Бесславные ублюдки
Inglourious Basterds, 2009","Человек на Луне (2018)
First Man","Зеленая миля
The Green Mile, 1999","Неогранённые алмазы (2019)
Uncut Gems","Мертвец (1995)
Dead Man"
8,"На посту!
Au poste!, 2018","
Небриллиантовая рука (2024)","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Образцовый самец (2001)
Zoolander","Чужой: Ромул (2024)
Alien: Romulus"
9,"Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Джон Уик 4 (2023)
John Wick: Chapter 4","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Бесславные ублюдки
Inglourious Basterds, 2009","Бесславные ублюдки
Inglourious Basterds, 2009"
