,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бесславные ублюдки
Inglourious Basterds, 2009","Конклав (2024)
Conclave","Джокер (2019)
Joker","Красота по-американски (1999)
American Beauty","Анора (2024)
Anora"
1,"Назад в будущее
Back to the Future, 1985","Виды доброты (2024)
Kinds of Kindness","Аватар
Avatar, 2009","Мементо (2000)
Memento","Армагеддец (2013)
The World's End"
2,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Дом большой мамочки (2000)
Big Momma's House","Назад в будущее
Back to the Future, 1985","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Достучаться до небес
Knockin' on Heaven's Door, 1997"
3,"Большой Лебовски (1998)
The Big Lebowski","Телохранитель киллера (2017)
The Hitman's Bodyguard","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Достучаться до небес
Knockin' on Heaven's Door, 1997","Дюна: Часть вторая (2024)
Dune: Part Two"
4,"Джокер (2019)
Joker","Достучаться до небес
Knockin' on Heaven's Door, 1997","Мстители: Финал (2019)
Avengers: Endgame","Билли Мэдисон
Billy Madison, 1995","Большой Лебовски (1998)
The Big Lebowski"
5,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Гладиатор 2 (2024)
Gladiator II","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Гладиатор 2 (2024)
Gladiator II","Билли Мэдисон
Billy Madison, 1995"
6,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Семь психопатов (2012)
Seven Psychopaths","Большой Лебовски (1998)
The Big Lebowski","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Мертвец (1995)
Dead Man"
7,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Мачо и ботан (2012)
21 Jump Street","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Большой Лебовски (1998)
The Big Lebowski","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
8,"Аватар
Avatar, 2009",Чужие (1986),"Титаник (1997)
Titanic","Мертвец (1995)
Dead Man","Гладиатор 2 (2024)
Gladiator II"
9,"Круэлла (2021)
Cruella","Большой Лебовски (1998)
The Big Lebowski","Круэлла (2021)
Cruella","Дюна: Часть вторая (2024)
Dune: Part Two","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
