,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Врожденный порок (2014)
Inherent Vice","Джокер (2019)
Joker","Люди в чёрном
Men in Black, 1997","Страсти Христовы
The Passion of the Christ, 2004"
1,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Достучаться до небес
Knockin' on Heaven's Door, 1997","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Нечто (1982)
The Thing"
2,"Люди в чёрном
Men in Black, 1997","Шоу Трумана
The Truman Show, 1998","1+1
Intouchables, 2011","Поймай меня, если сможешь
Catch Me If You Can, 2002","Люди в чёрном
Men in Black, 1997"
3,"Джокер (2019)
Joker","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Страсти Христовы
The Passion of the Christ, 2004","Поймай меня, если сможешь
Catch Me If You Can, 2002"
4,"Нечто (1982)
The Thing","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Люди в чёрном
Men in Black, 1997","Нечто (1982)
The Thing","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001"
5,"Драйв (2011)
Drive","Звездный десант (1997)
Starship Troopers","Титаник (1997)
Titanic","Как поймать монстра (2014)
Lost River","Титаник (1997)
Titanic"
6,"1+1
Intouchables, 2011","Пчеловод (2024)
The Beekeeper","Мстители: Финал (2019)
Avengers: Endgame","Общество мертвых поэтов (1989)
Dead Poets Society","Человек на Луне (2018)
First Man"
7,"Титаник (1997)
Titanic","Как поймать монстра (2014)
Lost River","Шоу Трумана
The Truman Show, 1998",Чужие (1986),Чужие (1986)
8,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Билли Мэдисон
Billy Madison, 1995","Драйв (2011)
Drive","Человек на Луне (2018)
First Man","Общество мертвых поэтов (1989)
Dead Poets Society"
9,"Зомби по имени Шон (2004)
Shaun of the Dead",Мастер и Маргарита (2023),"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Король говорит!
The King's Speech, 2010","Король говорит!
The King's Speech, 2010"
