,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","
Бременские музыканты (2023)","Джокер (2019)
Joker","Отступники
The Departed, 2006","Анора (2024)
Anora"
1,"Джокер (2019)
Joker","Зона интересов (2023)
The Zone of Interest","Титаник (1997)
Titanic","Игры разума
A Beautiful Mind, 2001","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)"
2,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Звездный десант (1997)
Starship Troopers","Мстители: Финал (2019)
Avengers: Endgame","Титаник (1997)
Titanic","Титаник (1997)
Titanic"
3,"Чужой
Alien, 1979","Врожденный порок (2014)
Inherent Vice","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Игры разума
A Beautiful Mind, 2001"
4,"Армагеддец (2013)
The World's End","Джокер (2019)
Joker","Чужой
Alien, 1979","Фарго (1995)
Fargo","Трасса 60
Interstate 60, 2001"
5,"Омерзительная восьмерка
The Hateful Eight, 2015","Человек на Луне (2018)
First Man","Пункт назначения (2000)
Final Destination","Неогранённые алмазы (2019)
Uncut Gems","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
6,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Вонка (2023)
Wonka",Курьер (1986),"Трасса 60
Interstate 60, 2001","Фарго (1995)
Fargo"
7,"Дневник памяти (2004)
The Notebook",День выборов (2009),"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Терминал (2004)
The Terminal","Неогранённые алмазы (2019)
Uncut Gems"
8,"Неогранённые алмазы (2019)
Uncut Gems","Трасса 60
Interstate 60, 2001","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
9,"Бедные-несчастные (2023)
Poor Things","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Звездный десант (1997)
Starship Troopers","Здесь курят (2005)
Thank You for Smoking","Здесь курят (2005)
Thank You for Smoking"
