,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Фарго (1995)
Fargo","Джокер (2019)
Joker","Семь
Se7en, 1995","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3"
1,"Титаник (1997)
Titanic","Человек на Луне (2018)
First Man","Титаник (1997)
Titanic","Фарго (1995)
Fargo","Круэлла (2021)
Cruella"
2,"Круэлла (2021)
Cruella","Джон Уик 4 (2023)
John Wick: Chapter 4","Круэлла (2021)
Cruella","Вне закона (1986)
Down by Law","Фарго (1995)
Fargo"
3,"Начало
Inception, 2010",О чём говорят мужчины (2010),"Начало
Inception, 2010","Круэлла (2021)
Cruella","Вне закона (1986)
Down by Law"
4,"Драйв (2011)
Drive","Телохранитель киллера (2017)
The Hitman's Bodyguard","Драйв (2011)
Drive","Чужой
Alien, 1979","Таксист (1976)
Taxi Driver
(с робертом де ниро)"
5,"Омерзительная восьмерка
The Hateful Eight, 2015","Чужой: Ромул (2024)
Alien: Romulus","Чужой
Alien, 1979","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Чужой
Alien, 1979"
6,"Чужой
Alien, 1979",Гидравлика (2010),"Семь
Se7en, 1995","Семь психопатов (2012)
Seven Psychopaths","Семь психопатов (2012)
Seven Psychopaths"
7,О чём говорят мужчины (2010),"Семь
Se7en, 1995","Мстители: Финал (2019)
Avengers: Endgame","Ночь на Земле (1991)
Night on Earth",Гидравлика (2010)
8,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Ловушка (2024)
Trap","Большой Лебовски (1998)
The Big Lebowski","Бесславные ублюдки
Inglourious Basterds, 2009","Ночь на Земле (1991)
Night on Earth"
9,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Мертвые не умирают (2019)
The Dead Don't Die","Бесславные ублюдки
Inglourious Basterds, 2009",Гидравлика (2010),"Бесславные ублюдки
Inglourious Basterds, 2009"
