,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Чокнутый (2006)
Delirious","Титаник (1997)
Titanic","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Чужой: Ромул (2024)
Alien: Romulus"
1,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Джокер (2019)
Joker","Джанго освобожденный
Django Unchained, 2012","
Мемуары Улитки (2024)
Memoir of a Snail"
2,"Нечто (1982)
The Thing","1+1
Intouchables, 2011","Головоломка (2015)
Inside Out","Апокалипсис сегодня (1979)
Apocalypse Now","На посту!
Au poste!, 2018"
3,"Большой Лебовски (1998)
The Big Lebowski","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","1+1
Intouchables, 2011","Чужой: Ромул (2024)
Alien: Romulus","Джанго освобожденный
Django Unchained, 2012"
4,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Телохранитель киллера (2017)
The Hitman's Bodyguard","Аватар
Avatar, 2009","Трасса 60
Interstate 60, 2001","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
5,"Пятый элемент
The Fifth Element, 1997",Чужие (1986),"Пятый элемент
The Fifth Element, 1997","Ловушка (2024)
Trap","1+1
Intouchables, 2011"
6,"Аватар
Avatar, 2009","Зомби по имени Шон (2004)
Shaun of the Dead",Наша Russia: Яйца судьбы (2010),"
Мемуары Улитки (2024)
Memoir of a Snail","Трасса 60
Interstate 60, 2001"
7,"Неогранённые алмазы (2019)
Uncut Gems","Большой Лебовски (1998)
The Big Lebowski","Оппенгеймер (2023)
Oppenheimer","21 грамм (2003)
21 Grams","Ловушка (2024)
Trap"
8,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Титаник (1997)
Titanic","Мстители: Финал (2019)
Avengers: Endgame","Фарго (1995)
Fargo","Фарго (1995)
Fargo"
9,"1+1
Intouchables, 2011","Неогранённые алмазы (2019)
Uncut Gems","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
