,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Интерстеллар
Interstellar, 2014","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Бойцовский клуб
Fight Club, 1999","Трасса 60
Interstate 60, 2001","Трасса 60
Interstate 60, 2001"
1,"1+1
Intouchables, 2011","Дневник памяти (2004)
The Notebook","Джокер (2019)
Joker","Большой куш
Snatch, 2000","Бойцовский клуб
Fight Club, 1999"
2,"Нечто (1982)
The Thing","Большой куш
Snatch, 2000","Интерстеллар
Interstellar, 2014","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002"
3,"Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","1+1
Intouchables, 2011","Типа крутые легавые (2007)
Hot Fuzz","Типа крутые легавые (2007)
Hot Fuzz"
4,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Назад в будущее
Back to the Future, 1985","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
5,"Титаник (1997)
Titanic","Полу-Нельсон (2006)
Half Nelson","Титаник (1997)
Titanic","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Чужой
Alien, 1979"
6,"Бойцовский клуб
Fight Club, 1999","Анора (2024)
Anora","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Драйв (2011)
Drive","Перелом (2007)
Fracture"
7,"Назад в будущее
Back to the Future, 1985","Джон Уик 4 (2023)
John Wick: Chapter 4","Форрест Гамп
Forrest Gump, 1994","Перелом (2007)
Fracture","Драйв (2011)
Drive"
8,"Большой куш
Snatch, 2000","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Поймай меня, если сможешь
Catch Me If You Can, 2002","
Мемуары Улитки (2024)
Memoir of a Snail","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
9,"Драйв (2011)
Drive","Общество мертвых поэтов (1989)
Dead Poets Society","Большой куш
Snatch, 2000","Чужой
Alien, 1979","
Мемуары Улитки (2024)
Memoir of a Snail"
