,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бесславные ублюдки
Inglourious Basterds, 2009","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Джокер (2019)
Joker","Бесславные ублюдки
Inglourious Basterds, 2009","Как поймать монстра (2014)
Lost River"
1,"Джокер (2019)
Joker",Майор Гром: Игра (2024),"Титаник (1997)
Titanic","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
2,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Неогранённые алмазы (2019)
Uncut Gems","Мстители: Финал (2019)
Avengers: Endgame","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Шоу Трумана
The Truman Show, 1998"
3,"Американская история X (1998)
American History X","Мстители: Финал (2019)
Avengers: Endgame","Шоу Трумана
The Truman Show, 1998","Джон Уик 4 (2023)
John Wick: Chapter 4","Сотни бобров (2024)
Hundreds of Beavers"
4,"Чужой
Alien, 1979","Чужой: Ромул (2024)
Alien: Romulus","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Король говорит!
The King's Speech, 2010","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
5,"Шоу Трумана
The Truman Show, 1998","Тайное окно (2004)
Secret Window","Бесславные ублюдки
Inglourious Basterds, 2009","Страсти Христовы
The Passion of the Christ, 2004","Бесславные ублюдки
Inglourious Basterds, 2009"
6,"Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Дом большой мамочки (2000)
Big Momma's House","Зеленая миля
The Green Mile, 1999","Шоу Трумана
The Truman Show, 1998","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
7,"Мстители: Финал (2019)
Avengers: Endgame","Пришельцы в Америке (2001)
Just Visiting","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Как поймать монстра (2014)
Lost River","Король говорит!
The King's Speech, 2010"
8,"Зона интересов (2023)
The Zone of Interest",Мастер и Маргарита (2023),О чём говорят мужчины (2010),"Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
9,О чём говорят мужчины (2010),"Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
