,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems","Джокер (2019)
Joker","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Отступники
The Departed, 2006"
1,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Сотни бобров (2024)
Hundreds of Beavers","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
2,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Титаник (1997)
Titanic","Зеленая миля
The Green Mile, 1999","Бешеные псы (1991)
Reservoir Dogs"
3,"Криминальное чтиво
Pulp Fiction, 1994","Чужой: Ромул (2024)
Alien: Romulus.1","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Неогранённые алмазы (2019)
Uncut Gems","Клуб «Завтрак» (1985)
The Breakfast Club"
4,"Бешеные псы (1991)
Reservoir Dogs","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Криминальное чтиво
Pulp Fiction, 1994","Отступники
The Departed, 2006","Терминатор (1984)
The Terminator"
5,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Дом большой мамочки (2000)
Big Momma's House","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Билли Мэдисон
Billy Madison, 1995","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
6,"Титаник (1997)
Titanic",Майор Гром: Игра (2024),"Мстители: Финал (2019)
Avengers: Endgame","Психо (1960)
Psycho","Сотни бобров (2024)
Hundreds of Beavers"
7,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Терминатор (1984)
The Terminator","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Зеленая миля
The Green Mile, 1999"
8,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Анора (2024)
Anora","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Общество мертвых поэтов (1989)
Dead Poets Society","Психо (1960)
Psycho"
9,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Не говори никому (2021)
Gæsterne","Чужой
Alien, 1979","Сотни бобров (2024)
Hundreds of Beavers","Общество мертвых поэтов (1989)
Dead Poets Society"
