,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Пленницы (2013)
Prisoners","Джокер (2019)
Joker","Одержимость
Whiplash, 2013","Мертвец (1995)
Dead Man"
1,"Джокер (2019)
Joker","Зеленая миля
The Green Mile, 1999","Интерстеллар
Interstellar, 2014","Терминатор (1984)
The Terminator","Субстанция (2024)
The Substance"
2,"Интерстеллар
Interstellar, 2014","Такие разные близнецы (2011)
Jack and Jill","Титаник (1997)
Titanic","Чужой: Ромул (2024)
Alien: Romulus","Психо (1960)
Psycho"
3,"Зомби по имени Шон (2004)
Shaun of the Dead","Мимино
1977","Мстители: Финал (2019)
Avengers: Endgame","Ночь на Земле (1991)
Night on Earth","Чужой: Ромул (2024)
Alien: Romulus"
4,"Криминальное чтиво
Pulp Fiction, 1994","Субстанция (2024)
The Substance","Криминальное чтиво
Pulp Fiction, 1994","Психо (1960)
Psycho","Трасса 60
Interstate 60, 2001"
5,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Мстители: Финал (2019)
Avengers: Endgame","Барби (2023)
Barbie",Чужие (1986),"Ночь на Земле (1991)
Night on Earth"
6,"Мстители: Финал (2019)
Avengers: Endgame",Мастер и Маргарита (2023),"Зеленая миля
The Green Mile, 1999","На посту!
Au poste!, 2018","На посту!
Au poste!, 2018"
7,"Терминатор (1984)
The Terminator","Конклав (2024)
Conclave","Терминатор (1984)
The Terminator","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998",Чужие (1986)
8,"Яйцеголовые
Coneheads, 1993","Американская история X (1998)
American History X","Чужой
Alien, 1979","Трасса 60
Interstate 60, 2001","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
9,"Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Клик: С пультом по жизни
Click, 2006","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
