,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker",День радио (2008),"Джокер (2019)
Joker","Чужой
Alien, 1979","Страсти Христовы
The Passion of the Christ, 2004"
1,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Гладиатор 2 (2024)
Gladiator II","Один дома
Home Alone, 1990","Анора (2024)
Anora","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One"
2,"Шоу Трумана
The Truman Show, 1998","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","1+1
Intouchables, 2011","Большой куш
Snatch, 2000","Сотни бобров (2024)
Hundreds of Beavers"
3,"Один дома
Home Alone, 1990","Как поймать монстра (2014)
Lost River","Шоу Трумана
The Truman Show, 1998","Звездный десант (1997)
Starship Troopers",Чужие (1986)
4,"Титаник (1997)
Titanic","Образцовый самец (2001)
Zoolander","Титаник (1997)
Titanic","Дюна: Часть вторая (2024)
Dune: Part Two","Звездный десант (1997)
Starship Troopers"
5,"1+1
Intouchables, 2011","Достучаться до небес
Knockin' on Heaven's Door, 1997","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Сотни бобров (2024)
Hundreds of Beavers","Дюна: Часть вторая (2024)
Dune: Part Two"
6,"Неогранённые алмазы (2019)
Uncut Gems",О чём говорят мужчины (2010),"Паразиты
Gisaengchung, 2019","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
7,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Чужой
Alien, 1979","Начало
Inception, 2010","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019"
8,"Хранители (2009)
Watchmen","Один дома
Home Alone, 1990","Мстители: Финал (2019)
Avengers: Endgame","Психо (1960)
Psycho","Психо (1960)
Psycho"
9,"Секреты Лос-Анджелеса (1997)
L.A. Confidential",Мастер и Маргарита (2023),"Драйв (2011)
Drive","Джон Уик 4 (2023)
John Wick: Chapter 4","Джон Уик 4 (2023)
John Wick: Chapter 4"
