,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джанго освобожденный
Django Unchained, 2012",О чём говорят мужчины (2010),"1+1
Intouchables, 2011","Неогранённые алмазы (2019)
Uncut Gems","Джон Уик 4 (2023)
John Wick: Chapter 4"
1,"Назад в будущее
Back to the Future, 1985","Пэрл (2022)
Pearl","Железный человек (2008)
Iron Man","1+1
Intouchables, 2011","Неогранённые алмазы (2019)
Uncut Gems"
2,"Железный человек (2008)
Iron Man","Мементо (2000)
Memento","Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","Мартовские иды (2011)
The Ides of March"
3,"Титаник (1997)
Titanic","Терминал (2004)
The Terminal","Назад в будущее
Back to the Future, 1985",Чужие (1986),"Поцелуй на вылет (2005)
Kiss Kiss Bang Bang"
4,Чужие (1986),"Титаник (1997)
Titanic","Титаник (1997)
Titanic","Игра на понижение (2015)
The Big Short","Анора (2024)
Anora"
5,"Джокер (2019)
Joker","Джанго освобожденный
Django Unchained, 2012","Аватар
Avatar, 2009","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Пленницы (2013)
Prisoners"
6,"1+1
Intouchables, 2011","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Мстители: Финал (2019)
Avengers: Endgame","Терминал (2004)
The Terminal","Игра на понижение (2015)
The Big Short"
7,"Чужой
Alien, 1979","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Джанго освобожденный
Django Unchained, 2012","Пленницы (2013)
Prisoners","Терминал (2004)
The Terminal"
8,"Круэлла (2021)
Cruella","Пленницы (2013)
Prisoners","Круэлла (2021)
Cruella","Мартовские иды (2011)
The Ides of March","1+1
Intouchables, 2011"
9,"Человек на Луне (2018)
First Man","Железный человек (2008)
Iron Man","Чужой
Alien, 1979","Джанго освобожденный
Django Unchained, 2012","Джанго освобожденный
Django Unchained, 2012"
