,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бойцовский клуб
Fight Club, 1999","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Бойцовский клуб
Fight Club, 1999","Смертельное оружие (1987)
Lethal Weapon","Пленницы (2013)
Prisoners"
1,"Титаник (1997)
Titanic","Место под соснами (2012)
The Place Beyond the Pines","Железный человек (2008)
Iron Man","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Только бог простит (2012)
Only God Forgives"
2,"Железный человек (2008)
Iron Man","Образцовый самец (2001)
Zoolander","Джокер (2019)
Joker","Пленницы (2013)
Prisoners","Сотни бобров (2024)
Hundreds of Beavers"
3,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Чужой: Ромул (2024)
Alien: Romulus","Титаник (1997)
Titanic","
Мемуары Улитки (2024)
Memoir of a Snail","Бойцовский клуб
Fight Club, 1999"
4,"Джокер (2019)
Joker","Джон Уик 4 (2023)
John Wick: Chapter 4","Пятый элемент
The Fifth Element, 1997","Только бог простит (2012)
Only God Forgives","Человек на Луне (2018)
First Man"
5,"Чужой
Alien, 1979",Чужие (1986),"Аватар
Avatar, 2009","Игра на понижение (2015)
The Big Short","
Мемуары Улитки (2024)
Memoir of a Snail"
6,Чужие (1986),"Пчеловод (2024)
The Beekeeper","Побег из Шоушенка
The Shawshank Redemption, 1994","Пятый элемент
The Fifth Element, 1997","Игра на понижение (2015)
The Big Short"
7,"Пятый элемент
The Fifth Element, 1997",День радио (2003),"Криминальное чтиво
Pulp Fiction, 1994","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
8,"Криминальное чтиво
Pulp Fiction, 1994","Как поймать монстра (2014)
Lost River","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Человек на Луне (2018)
First Man","Пятый элемент
The Fifth Element, 1997"
9,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991",Мастер и Маргарита (2023),"Ла-Ла Ленд
La La Land, 2016","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
