,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Один дома
Home Alone, 1990","Последний бойскаут (1991)
The Last Boy Scout","Омерзительная восьмерка
The Hateful Eight, 2015"
1,"Один дома
Home Alone, 1990","Страсти Христовы
The Passion of the Christ, 2004","Джокер (2019)
Joker","Психо (1960)
Psycho","Дюна: Часть вторая (2024)
Dune: Part Two"
2,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Зеленая миля
The Green Mile, 1999","Титаник (1997)
Titanic","Зеленая миля
The Green Mile, 1999","Психо (1960)
Psycho"
3,"Джокер (2019)
Joker",Чужие (1986),"Интерстеллар
Interstellar, 2014","Мимино
1977","Как поймать монстра (2014)
Lost River"
4,"Омерзительная восьмерка
The Hateful Eight, 2015","Только бог простит (2012)
Only God Forgives",Наша Russia: Яйца судьбы (2010),"Как поймать монстра (2014)
Lost River","Мимино
1977"
5,"Джанго освобожденный
Django Unchained, 2012","Джанго освобожденный
Django Unchained, 2012","Мстители: Финал (2019)
Avengers: Endgame","Джанго освобожденный
Django Unchained, 2012","Типа крутые легавые (2007)
Hot Fuzz"
6,"Типа крутые легавые (2007)
Hot Fuzz","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Форрест Гамп
Forrest Gump, 1994","Типа крутые легавые (2007)
Hot Fuzz","Последний бойскаут (1991)
The Last Boy Scout"
7,"Интерстеллар
Interstellar, 2014","Трасса 60
Interstate 60, 2001","Чужой
Alien, 1979","Дюна: Часть вторая (2024)
Dune: Part Two","Зеленая миля
The Green Mile, 1999"
8,"Вне закона (1986)
Down by Law","Дом большой мамочки (2000)
Big Momma's House","Зеленая миля
The Green Mile, 1999","Американская история X (1998)
American History X","Кофе и сигареты (2003)
Coffee and Cigarettes"
9,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Один дома
Home Alone, 1990","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Кофе и сигареты (2003)
Coffee and Cigarettes","Американская история X (1998)
American History X"
