,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Ла-Ла Ленд
La La Land, 2016","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Ла-Ла Ленд
La La Land, 2016","Мементо (2000)
Memento","Апокалипсис сегодня (1979)
Apocalypse Now"
1,"Титаник (1997)
Titanic","Пятый элемент
The Fifth Element, 1997","Джокер (2019)
Joker",Курьер (1986),Курьер (1986)
2,"Смертельное оружие (1987)
Lethal Weapon","Форрест Гамп
Forrest Gump, 1994","Титаник (1997)
Titanic","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Чужой
Alien, 1979"
3,"Джокер (2019)
Joker","Зомби по имени Шон (2004)
Shaun of the Dead","Форрест Гамп
Forrest Gump, 1994","Смертельное оружие (1987)
Lethal Weapon","Мементо (2000)
Memento"
4,"Пятый элемент
The Fifth Element, 1997","Семь
Se7en, 1995","Пятый элемент
The Fifth Element, 1997","Кофе и сигареты (2003)
Coffee and Cigarettes","Кофе и сигареты (2003)
Coffee and Cigarettes"
5,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008",Курьер (1986),"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Форрест Гамп
Forrest Gump, 1994","Армагеддец (2013)
The World's End"
6,"Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Семь
Se7en, 1995","Пятый элемент
The Fifth Element, 1997","Пятый элемент
The Fifth Element, 1997"
7,"Залечь на дно в Брюгге (2007)
In Bruges","Гладиатор 2 (2024)
Gladiator II","Терминатор (1984)
The Terminator","Апокалипсис сегодня (1979)
Apocalypse Now","Форрест Гамп
Forrest Gump, 1994"
8,"Неогранённые алмазы (2019)
Uncut Gems","Нечто (1982)
The Thing",Курьер (1986),"Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
9,"Семь
Se7en, 1995","Дюна: Часть вторая (2024)
Dune: Part Two","Мстители: Финал (2019)
Avengers: Endgame","Армагеддец (2013)
The World's End","Смертельное оружие (1987)
Lethal Weapon"
