,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic",О чём ещё говорят мужчины (2011),"Один дома
Home Alone, 1990","Отступники
The Departed, 2006","Джанго освобожденный
Django Unchained, 2012"
1,"Один дома
Home Alone, 1990","Вонка (2023)
Wonka","Титаник (1997)
Titanic","Джанго освобожденный
Django Unchained, 2012","Джон Уик 4 (2023)
John Wick: Chapter 4"
2,"Джокер (2019)
Joker","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Джокер (2019)
Joker","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Ларс и настоящая девушка (2007)
Lars and the Real Girl"
3,"Криминальное чтиво
Pulp Fiction, 1994","Дом большой мамочки (2000)
Big Momma's House","Мстители: Финал (2019)
Avengers: Endgame","Звездный десант (1997)
Starship Troopers","Отступники
The Departed, 2006"
4,Чужие (1986),"Титаник (1997)
Titanic","Драйв (2011)
Drive","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
5,"Ла-Ла Ленд
La La Land, 2016","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","21 грамм (2003)
21 Grams","Анора (2024)
Anora"
6,"Джанго освобожденный
Django Unchained, 2012","Чужой: Ромул (2024)
Alien: Romulus","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Анора (2024)
Anora","Как поймать монстра (2014)
Lost River"
7,"Драйв (2011)
Drive","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Ла-Ла Ленд
La La Land, 2016","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
8,"Между нами музыка (2015)
Song to Song","Форрест Гамп
Forrest Gump, 1994","Джанго освобожденный
Django Unchained, 2012","Страсти Христовы
The Passion of the Christ, 2004","21 грамм (2003)
21 Grams"
9,О чём ещё говорят мужчины (2011),"Такие разные близнецы (2011)
Jack and Jill","Криминальное чтиво
Pulp Fiction, 1994","Не говори никому (2024)
Speak No Evil","Страсти Христовы
The Passion of the Christ, 2004"
