,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Таксист (1976)
Taxi Driver
(с робертом де ниро)",День радио (2008),"Джокер (2019)
Joker","Одержимость
Whiplash, 2013","Побег из Шоушенка
The Shawshank Redemption, 1994"
1,"Титаник (1997)
Titanic","Шоу Трумана
The Truman Show, 1998","Титаник (1997)
Titanic","Пленницы (2013)
Prisoners",Чужие (1986)
2,"Зомби по имени Шон (2004)
Shaun of the Dead","Джокер (2019)
Joker","Побег из Шоушенка
The Shawshank Redemption, 1994","Телохранитель киллера (2017)
The Hitman's Bodyguard","Одержимость
Whiplash, 2013"
3,"Круэлла (2021)
Cruella","Джон Уик 4 (2023)
John Wick: Chapter 4","Шоу Трумана
The Truman Show, 1998","Побег из Шоушенка
The Shawshank Redemption, 1994","Анора (2024)
Anora"
4,"Большой Лебовски (1998)
The Big Lebowski","Зодиак (2007)
Zodiac","Круэлла (2021)
Cruella","Анора (2024)
Anora","Головоломка 2 (2024)
Inside Out 2"
5,"Побег из Шоушенка
The Shawshank Redemption, 1994",Чужие (1986),"Большой Лебовски (1998)
The Big Lebowski","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Телохранитель киллера (2017)
The Hitman's Bodyguard"
6,"Большой куш
Snatch, 2000","Пленницы (2013)
Prisoners","Мстители: Финал (2019)
Avengers: Endgame","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
7,"Шоу Трумана
The Truman Show, 1998","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Пришельцы в Америке (2001)
Just Visiting","Пришельцы в Америке (2001)
Just Visiting"
8,"Джокер (2019)
Joker",Майор Гром: Игра (2024),"Большой куш
Snatch, 2000","Только бог простит (2012)
Only God Forgives","Только бог простит (2012)
Only God Forgives"
9,"Дом большой мамочки (2000)
Big Momma's House","Сотни бобров (2024)
Hundreds of Beavers","Чужой
Alien, 1979","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
