,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Достать ножи
Knives Out, 2019",Гитлер капут! (2008),"Джокер (2019)
Joker","Мертвые не умирают (2019)
The Dead Don't Die","Кофе и сигареты (2003)
Coffee and Cigarettes"
1,"Джанго освобожденный
Django Unchained, 2012","Кофе и сигареты (2003)
Coffee and Cigarettes","Аватар
Avatar, 2009","Неогранённые алмазы (2019)
Uncut Gems","Зеленая миля
The Green Mile, 1999"
2,"Титаник (1997)
Titanic","Джанго освобожденный
Django Unchained, 2012","Титаник (1997)
Titanic","Достать ножи
Knives Out, 2019","Достать ножи
Knives Out, 2019"
3,"Хранители (2009)
Watchmen","Мементо (2000)
Memento","Круэлла (2021)
Cruella","Король говорит!
The King's Speech, 2010","Игры разума
A Beautiful Mind, 2001"
4,"Аватар
Avatar, 2009","Интерстеллар
Interstellar, 2014","Интерстеллар
Interstellar, 2014","Кофе и сигареты (2003)
Coffee and Cigarettes","Неогранённые алмазы (2019)
Uncut Gems"
5,"Круэлла (2021)
Cruella","Большой Лебовски (1998)
The Big Lebowski","Большой Лебовски (1998)
The Big Lebowski","Полу-Нельсон (2006)
Half Nelson","Король говорит!
The King's Speech, 2010"
6,"Игры разума
A Beautiful Mind, 2001","Только бог простит (2012)
Only God Forgives","Барби (2023)
Barbie","Джанго освобожденный
Django Unchained, 2012","Отступники
The Departed, 2006"
7,"Побег из Шоушенка
The Shawshank Redemption, 1994",Майор Гром: Игра (2024),"Начало
Inception, 2010","Побег из Шоушенка
The Shawshank Redemption, 1994","Полу-Нельсон (2006)
Half Nelson"
8,"Джокер (2019)
Joker","Врожденный порок (2014)
Inherent Vice","Побег из Шоушенка
The Shawshank Redemption, 1994","Отступники
The Departed, 2006","Джанго освобожденный
Django Unchained, 2012"
9,"Отступники
The Departed, 2006","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare","Джанго освобожденный
Django Unchained, 2012","Игры разума
A Beautiful Mind, 2001","Побег из Шоушенка
The Shawshank Redemption, 1994"
