,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Большой Лебовски (1998)
The Big Lebowski","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","Чужой: Ромул (2024)
Alien: Romulus"
1,"Бешеные псы (1991)
Reservoir Dogs","Джон Уик 4 (2023)
John Wick: Chapter 4","Один дома
Home Alone, 1990","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Ларс и настоящая девушка (2007)
Lars and the Real Girl"
2,"Джокер (2019)
Joker","Дюна: Часть вторая (2024)
Dune: Part Two","1+1
Intouchables, 2011","Терминал (2004)
The Terminal","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
3,"Один дома
Home Alone, 1990","Телохранитель киллера (2017)
The Hitman's Bodyguard","Железный человек (2008)
Iron Man","Пятый элемент
The Fifth Element, 1997","Дюна: Часть вторая (2024)
Dune: Part Two"
4,"Титаник (1997)
Titanic","Один дома
Home Alone, 1990","Большой Лебовски (1998)
The Big Lebowski","Чужой: Ромул (2024)
Alien: Romulus","Терминал (2004)
The Terminal"
5,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Джокер (2019)
Joker","Титаник (1997)
Titanic","Молчание ягнят
The Silence of the Lambs, 1990","Страсти Христовы
The Passion of the Christ, 2004"
6,"1+1
Intouchables, 2011","Звездный десант (1997)
Starship Troopers","Чужой
Alien, 1979","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
7,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Круто сваренные (1992)
Lat sau san taam","Пятый элемент
The Fifth Element, 1997",Гидравлика (2010),"Фарго (1995)
Fargo"
8,"Чужой
Alien, 1979","Мстители: Финал (2019)
Avengers: Endgame","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Фарго (1995)
Fargo","Пятый элемент
The Fifth Element, 1997"
9,"Вне закона (1986)
Down by Law","Ловушка (2024)
Trap","Молчание ягнят
The Silence of the Lambs, 1990","Общество мертвых поэтов (1989)
Dead Poets Society","Общество мертвых поэтов (1989)
Dead Poets Society"
