,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Мачо и ботан (2012)
21 Jump Street","Джокер (2019)
Joker","Одержимость
Whiplash, 2013","Сотни бобров (2024)
Hundreds of Beavers"
1,"Зеленая миля
The Green Mile, 1999","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Титаник (1997)
Titanic","Телохранитель киллера (2017)
The Hitman's Bodyguard","Только бог простит (2012)
Only God Forgives"
2,"Фарго (1995)
Fargo","Молчание ягнят
The Silence of the Lambs, 1990","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Паразиты
Gisaengchung, 2019","Круто сваренные (1992)
Lat sau san taam"
3,"Титаник (1997)
Titanic","Место под соснами (2012)
The Place Beyond the Pines","Паразиты
Gisaengchung, 2019","Тайное окно (2004)
Secret Window","Паразиты
Gisaengchung, 2019"
4,"Паразиты
Gisaengchung, 2019","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Мстители: Финал (2019)
Avengers: Endgame","Сотни бобров (2024)
Hundreds of Beavers","Достать ножи
Knives Out, 2019"
5,"Мертвец (1995)
Dead Man","Папа, сдохни (2018)","Чужой
Alien, 1979","Зеленая миля
The Green Mile, 1999","Одержимость
Whiplash, 2013"
6,"Чужой
Alien, 1979","Как поймать монстра (2014)
Lost River","Зеленая миля
The Green Mile, 1999","Достать ножи
Knives Out, 2019","Зеленая миля
The Green Mile, 1999"
7,"Зона интересов (2023)
The Zone of Interest","Мертвец (1995)
Dead Man","Барби (2023)
Barbie","Круто сваренные (1992)
Lat sau san taam","Тайное окно (2004)
Secret Window"
8,"Выживут только любовники (2013)
Only Lovers Left Alive","Конклав (2024)
Conclave","Достать ножи
Knives Out, 2019",Курьер (1986),"Фарго (1995)
Fargo"
9,"Зомби по имени Шон (2004)
Shaun of the Dead","Ворон (2024)
The Crow","Молчание ягнят
The Silence of the Lambs, 1990","Фарго (1995)
Fargo",Курьер (1986)
