,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic",День радио (2008),"Джокер (2019)
Joker","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Хранители (2009)
Watchmen"
1,"Железный человек (2008)
Iron Man",Мастер и Маргарита (2023),"Бойцовский клуб
Fight Club, 1999","Бойцовский клуб
Fight Club, 1999","Чужой: Ромул (2024)
Alien: Romulus"
2,"Один дома
Home Alone, 1990","Хранители (2009)
Watchmen","Титаник (1997)
Titanic","Король говорит!
The King's Speech, 2010",Чужие (1986)
3,"Джокер (2019)
Joker","Телохранитель киллера (2017)
The Hitman's Bodyguard","Один дома
Home Alone, 1990","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Бойцовский клуб
Fight Club, 1999"
4,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Место под соснами (2012)
The Place Beyond the Pines","Железный человек (2008)
Iron Man","Хранители (2009)
Watchmen","Анора (2024)
Anora"
5,"Драйв (2011)
Drive","Молчание ягнят
The Silence of the Lambs, 1990","Драйв (2011)
Drive",Гидравлика (2010),"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
6,"Неогранённые алмазы (2019)
Uncut Gems","Зодиак (2007)
Zodiac","Мстители: Финал (2019)
Avengers: Endgame","Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems"
7,"Бешеные псы (1991)
Reservoir Dogs","Кофе и сигареты (2003)
Coffee and Cigarettes","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Неогранённые алмазы (2019)
Uncut Gems","Король говорит!
The King's Speech, 2010"
8,"Бойцовский клуб
Fight Club, 1999","Один дома
Home Alone, 1990","Молчание ягнят
The Silence of the Lambs, 1990",Чужие (1986),"Джокер (2019)
Joker"
9,"Хранители (2009)
Watchmen","Анора (2024)
Anora","Начало
Inception, 2010","Бешеные псы (1991)
Reservoir Dogs","Бешеные псы (1991)
Reservoir Dogs"
