,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Аватар
Avatar, 2009","Страсти Христовы
The Passion of the Christ, 2004","Джокер (2019)
Joker","Невезучие (2003)
Tais-toi!","Большой Лебовски (1998)
The Big Lebowski"
1,"Титаник (1997)
Titanic","Нечто (1982)
The Thing","Титаник (1997)
Titanic","Апокалипсис сегодня (1979)
Apocalypse Now","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland"
2,"Назад в будущее
Back to the Future, 1985","Зеленая миля
The Green Mile, 1999","Назад в будущее
Back to the Future, 1985","Пленницы (2013)
Prisoners","Папа, сдохни (2018)"
3,"Джокер (2019)
Joker","Джокер (2019)
Joker","Головоломка (2015)
Inside Out","Врожденный порок (2014)
Inherent Vice","Пленницы (2013)
Prisoners"
4,"Нечто (1982)
The Thing","Телохранитель киллера (2017)
The Hitman's Bodyguard","Аватар
Avatar, 2009","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Чужой
Alien, 1979"
5,"Ла-Ла Ленд
La La Land, 2016","Неогранённые алмазы (2019)
Uncut Gems","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Леон
Léon, 1994","Неогранённые алмазы (2019)
Uncut Gems"
6,"Чужой
Alien, 1979","Как поймать монстра (2014)
Lost River","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019","Мартовские иды (2011)
The Ides of March"
7,"Паразиты
Gisaengchung, 2019","Дом большой мамочки (2000)
Big Momma's House","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Чужой
Alien, 1979","Паразиты
Gisaengchung, 2019"
8,"Леон
Léon, 1994","Титаник (1997)
Titanic","Ла-Ла Ленд
La La Land, 2016","Здесь курят (2005)
Thank You for Smoking","Здесь курят (2005)
Thank You for Smoking"
9,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Семь
Se7en, 1995","Большой Лебовски (1998)
The Big Lebowski","Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013"
