,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Нечто (1982)
The Thing","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Бойцовский клуб
Fight Club, 1999","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001"
1,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Дюна: Часть вторая (2024)
Dune: Part Two","Один дома
Home Alone, 1990","Один дома
Home Alone, 1990","Один дома
Home Alone, 1990"
2,"Один дома
Home Alone, 1990","Славные парни (2016)
The Nice Guys","Джокер (2019)
Joker","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
3,"Бойцовский клуб
Fight Club, 1999","Дом большой мамочки (2000)
Big Momma's House","Титаник (1997)
Titanic","Достать ножи
Knives Out, 2019","Неогранённые алмазы (2019)
Uncut Gems"
4,"Зеленая миля
The Green Mile, 1999","Только бог простит (2012)
Only God Forgives","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Пленницы (2013)
Prisoners","Достать ножи
Knives Out, 2019"
5,"Титаник (1997)
Titanic","Терминал (2004)
The Terminal","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Зеленая миля
The Green Mile, 1999","Славные парни (2016)
The Nice Guys"
6,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Место под соснами (2012)
The Place Beyond the Pines","Мстители: Финал (2019)
Avengers: Endgame","Славные парни (2016)
The Nice Guys","Пленницы (2013)
Prisoners"
7,"Чужой
Alien, 1979","Зеленая миля
The Green Mile, 1999","Чужой
Alien, 1979","Бойцовский клуб
Fight Club, 1999","Бойцовский клуб
Fight Club, 1999"
8,"Джокер (2019)
Joker","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Остров проклятых
Shutter Island, 2009","Как поймать монстра (2014)
Lost River","Зеленая миля
The Green Mile, 1999"
9,"Славные парни (2016)
The Nice Guys","Молчание ягнят
The Silence of the Lambs, 1990","Зеленая миля
The Green Mile, 1999","Неогранённые алмазы (2019)
Uncut Gems","Как поймать монстра (2014)
Lost River"
