,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Максин XXX (2024)
MaXXXine","Джокер (2019)
Joker","Криминальное чтиво
Pulp Fiction, 1994","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3"
1,"Джокер (2019)
Joker","Остров проклятых
Shutter Island, 2009","Титаник (1997)
Titanic","Отступники
The Departed, 2006","Криминальное чтиво
Pulp Fiction, 1994"
2,"Семь
Se7en, 1995","Телохранитель киллера (2017)
The Hitman's Bodyguard","Криминальное чтиво
Pulp Fiction, 1994","Омерзительная восьмерка
The Hateful Eight, 2015","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
3,"Нечто (1982)
The Thing","Смертельное оружие (1987)
Lethal Weapon","Мстители: Финал (2019)
Avengers: Endgame","Фарго (1995)
Fargo","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
4,"Трасса 60
Interstate 60, 2001","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Шоу Трумана
The Truman Show, 1998","Анора (2024)
Anora","Омерзительная восьмерка
The Hateful Eight, 2015"
5,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Фарго (1995)
Fargo","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Сотни бобров (2024)
Hundreds of Beavers","Игра на понижение (2015)
The Big Short"
6,"Криминальное чтиво
Pulp Fiction, 1994","Вонка (2023)
Wonka","Начало
Inception, 2010","Смертельное оружие (1987)
Lethal Weapon","Смертельное оружие (1987)
Lethal Weapon"
7,"Неогранённые алмазы (2019)
Uncut Gems","Чужой
Alien, 1979","Трасса 60
Interstate 60, 2001","Игра на понижение (2015)
The Big Short","Трасса 60
Interstate 60, 2001"
8,"Максин XXX (2024)
MaXXXine","Билли Мэдисон
Billy Madison, 1995","Остров проклятых
Shutter Island, 2009","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Сотни бобров (2024)
Hundreds of Beavers"
9,Чужие (1986),"Конклав (2024)
Conclave","Чужой
Alien, 1979","Трасса 60
Interstate 60, 2001","Фарго (1995)
Fargo"
