,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Билли Мэдисон
Billy Madison, 1995","Джокер (2019)
Joker","Конклав (2024)
Conclave","Бешеные псы (1991)
Reservoir Dogs"
1,"Джокер (2019)
Joker","Достучаться до небес
Knockin' on Heaven's Door, 1997","1+1
Intouchables, 2011","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Головоломка (2015)
Inside Out"
2,"Пятый элемент
The Fifth Element, 1997","Джокер (2019)
Joker","Головоломка (2015)
Inside Out","Головоломка (2015)
Inside Out","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
3,"Титаник (1997)
Titanic",Мастер и Маргарита (2023),"Пятый элемент
The Fifth Element, 1997","Бешеные псы (1991)
Reservoir Dogs","Терминал (2004)
The Terminal"
4,"1+1
Intouchables, 2011","Гладиатор 2 (2024)
Gladiator II","Титаник (1997)
Titanic","Сотни бобров (2024)
Hundreds of Beavers","Сотни бобров (2024)
Hundreds of Beavers"
5,"Хранители (2009)
Watchmen","Человек на Луне (2018)
First Man","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Мимино
1977"
6,"Головоломка (2015)
Inside Out","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Мстители: Финал (2019)
Avengers: Endgame","Общество мертвых поэтов (1989)
Dead Poets Society","Хранители (2009)
Watchmen"
7,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008",День радио (2008),"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Чужой: Ромул (2024)
Alien: Romulus","Чужой: Ромул (2024)
Alien: Romulus"
8,"Терминатор (1984)
The Terminator","Кофе и сигареты (2003)
Coffee and Cigarettes","Круэлла (2021)
Cruella","Мимино
1977","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
9,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Виды доброты (2024)
Kinds of Kindness","Драйв (2011)
Drive","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Общество мертвых поэтов (1989)
Dead Poets Society"
