,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Телохранитель киллера (2017)
The Hitman's Bodyguard","Бойцовский клуб
Fight Club, 1999","Нечто (1982)
The Thing","Ла-Ла Ленд
La La Land, 2016"
1,"Бойцовский клуб
Fight Club, 1999","Мертвые не умирают (2019)
The Dead Don't Die","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003",День радио (2008),"Зона интересов (2023)
The Zone of Interest"
2,"Интерстеллар
Interstellar, 2014","Джокер (2019)
Joker","Интерстеллар
Interstellar, 2014","Славные парни (2016)
The Nice Guys","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
3,"Назад в будущее
Back to the Future, 1985","Только бог простит (2012)
Only God Forgives","Джокер (2019)
Joker","
Мемуары Улитки (2024)
Memoir of a Snail","Дюна: Часть вторая (2024)
Dune: Part Two"
4,"Ла-Ла Ленд
La La Land, 2016","Назад в будущее
Back to the Future, 1985","Назад в будущее
Back to the Future, 1985","Ла-Ла Ленд
La La Land, 2016","Славные парни (2016)
The Nice Guys"
5,"Джокер (2019)
Joker","Джон Уик 4 (2023)
John Wick: Chapter 4","Головоломка (2015)
Inside Out","Джокер (2019)
Joker","Пришельцы в Америке (2001)
Just Visiting"
6,"Нечто (1982)
The Thing","Страсти Христовы
The Passion of the Christ, 2004","Титаник (1997)
Titanic","Пришельцы в Америке (2001)
Just Visiting",Чужие (1986)
7,"Головоломка (2015)
Inside Out","Пчеловод (2024)
The Beekeeper","Ла-Ла Ленд
La La Land, 2016","Джанго освобожденный
Django Unchained, 2012","
Мемуары Улитки (2024)
Memoir of a Snail"
8,"Джанго освобожденный
Django Unchained, 2012","Славные парни (2016)
The Nice Guys","Джанго освобожденный
Django Unchained, 2012",Чужие (1986),"Джанго освобожденный
Django Unchained, 2012"
9,"Мертвые не умирают (2019)
The Dead Don't Die","Дилер (1996)
Pusher","Мстители: Финал (2019)
Avengers: Endgame","Апокалипсис сегодня (1979)
Apocalypse Now","Апокалипсис сегодня (1979)
Apocalypse Now"
