,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Джокер (2019)
Joker","Семь
Se7en, 1995","Бесславные ублюдки
Inglourious Basterds, 2009"
1,"Головоломка (2015)
Inside Out","Грязь (2013)
Filth","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
2,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Джон Уик 4 (2023)
John Wick: Chapter 4","Головоломка (2015)
Inside Out","Дневник памяти (2004)
The Notebook","
Мемуары Улитки (2024)
Memoir of a Snail"
3,"Омерзительная восьмерка
The Hateful Eight, 2015","Достать ножи
Knives Out, 2019","Побег из Шоушенка
The Shawshank Redemption, 1994","Залечь на дно в Брюгге (2007)
In Bruges","Типа крутые легавые (2007)
Hot Fuzz"
4,"Бесславные ублюдки
Inglourious Basterds, 2009","Типа крутые легавые (2007)
Hot Fuzz","Титаник (1997)
Titanic",Чужие (1986),"Ловушка (2024)
Trap"
5,Чужие (1986),Мастер и Маргарита (2023),"Зеленая миля
The Green Mile, 1999","Не говори никому (2024)
Speak No Evil","Залечь на дно в Брюгге (2007)
In Bruges"
6,"Титаник (1997)
Titanic","Не говори никому (2021)
Gæsterne","Мстители: Финал (2019)
Avengers: Endgame","Ловушка (2024)
Trap","Омерзительная восьмерка
The Hateful Eight, 2015"
7,"Пункт назначения. Аквапарк (2019)
Aquaslash","Выживут только любовники (2013)
Only Lovers Left Alive","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Анора (2024)
Anora","Анора (2024)
Anora"
8,"Терминатор (1984)
The Terminator","Последний бойскаут (1991)
The Last Boy Scout","Чужой
Alien, 1979","Омерзительная восьмерка
The Hateful Eight, 2015","Не говори никому (2024)
Speak No Evil"
9,"Чужой
Alien, 1979","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Семь
Se7en, 1995","Апокалипсис сегодня (1979)
Apocalypse Now","Апокалипсис сегодня (1979)
Apocalypse Now"
