,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Пятый элемент
The Fifth Element, 1997","Джокер (2019)
Joker","Мертвец (1995)
Dead Man","Телохранитель киллера (2017)
The Hitman's Bodyguard"
1,"Аватар
Avatar, 2009","Залечь на дно в Брюгге (2007)
In Bruges","Аватар
Avatar, 2009","Последний бойскаут (1991)
The Last Boy Scout","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
2,"Люди в чёрном
Men in Black, 1997","Гладиатор 2 (2024)
Gladiator II","Один дома
Home Alone, 1990","Страсти Христовы
The Passion of the Christ, 2004","Шоу Трумана
The Truman Show, 1998"
3,"Пятый элемент
The Fifth Element, 1997","Папа, сдохни (2018)","Пятый элемент
The Fifth Element, 1997","Нечто (1982)
The Thing","Семь психопатов (2012)
Seven Psychopaths"
4,"Нечто (1982)
The Thing",День радио (2008),"Титаник (1997)
Titanic","Сотни бобров (2024)
Hundreds of Beavers","Звездный десант (1997)
Starship Troopers"
5,"Отступники
The Departed, 2006","Анора (2024)
Anora","Люди в чёрном
Men in Black, 1997","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Нечто (1982)
The Thing"
6,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Человек на Луне (2018)
First Man","Шоу Трумана
The Truman Show, 1998","Невезучие (2003)
Tais-toi!","Анора (2024)
Anora"
7,"Титаник (1997)
Titanic","Отступники
The Departed, 2006","Мстители: Финал (2019)
Avengers: Endgame","Семь психопатов (2012)
Seven Psychopaths","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
8,Чужие (1986),"Страсти Христовы
The Passion of the Christ, 2004","Нечто (1982)
The Thing","Анора (2024)
Anora","Невезучие (2003)
Tais-toi!"
9,"Шоу Трумана
The Truman Show, 1998","Люди в чёрном
Men in Black, 1997","Чужой
Alien, 1979","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
