,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Криминальное чтиво
Pulp Fiction, 1994","Одержимость
Whiplash, 2013","Джокер (2019)
Joker","Криминальное чтиво
Pulp Fiction, 1994","Криминальное чтиво
Pulp Fiction, 1994"
1,"Пятый элемент
The Fifth Element, 1997","Джон Уик 4 (2023)
John Wick: Chapter 4","Криминальное чтиво
Pulp Fiction, 1994","Общество мертвых поэтов (1989)
Dead Poets Society","Семь психопатов (2012)
Seven Psychopaths"
2,"Титаник (1997)
Titanic",Майор Гром: Игра (2024),"Пятый элемент
The Fifth Element, 1997","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Телохранитель киллера (2017)
The Hitman's Bodyguard"
3,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003",День радио (2008),"Титаник (1997)
Titanic","Армагеддец (2013)
The World's End","Зодиак (2007)
Zodiac"
4,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Останься (2005)
Stay","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Одержимость
Whiplash, 2013","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
5,"Джокер (2019)
Joker","Джокер (2019)
Joker","Молчание ягнят
The Silence of the Lambs, 1990","Бешеные псы (1991)
Reservoir Dogs","Армагеддец (2013)
The World's End"
6,"Неогранённые алмазы (2019)
Uncut Gems",Чужие (1986),"Мстители: Финал (2019)
Avengers: Endgame","
Мемуары Улитки (2024)
Memoir of a Snail","Бешеные псы (1991)
Reservoir Dogs"
7,"Секреты Лос-Анджелеса (1997)
L.A. Confidential","Апокалипсис сегодня (1979)
Apocalypse Now","Круэлла (2021)
Cruella","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Апокалипсис сегодня (1979)
Apocalypse Now"
8,Чужие (1986),"Дюна: Часть вторая (2024)
Dune: Part Two","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Апокалипсис сегодня (1979)
Apocalypse Now","Одержимость
Whiplash, 2013"
9,День радио (2008),"Полночь с дьяволом (2023)
Late Night with the Devil","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
